timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
844000,487.802,0.0,95601.5,1.1359
848000,488.131,0.0,95597.7,1.13586
852000,488.136,0.0,95597.6,1.13586
856000,488.15,0.0,95597.5,1.13586
860000,488.112,0.0,95597.9,1.13586
864000,488.131,0.0,95597.7,1.13586
868000,488.159,0.0,95597.4,1.13586
876000,487.971,0.0,95599.5,1.13588
880000,487.967,0.0,95599.6,1.13588
884000,488.093,0.0,95598.1,1.13586
888000,488.014,0.0,95599.0,1.13587
892000,488.075,0.0,95598.3,1.13587
896000,488.328,0.0,95595.4,1.13583
900000,488.089,0.0,95598.2,1.13586
904000,487.995,0.0,95599.3,1.13588
908000,488.051,0.0,95598.6,1.13587
912000,488.103,0.0,95598.0,1.13586
916000,488.042,0.0,95598.7,1.13587
920000,487.957,0.0,95599.7,1.13588
924000,487.985,0.0,95599.3,1.13588
928000,488.356,0.0,95595.1,1.13583
932000,487.981,0.0,95599.4,1.13588
936000,488.136,0.0,95597.6,1.13586
940000,488.061,0.0,95598.5,1.13587
944000,487.981,0.0,95599.4,1.13588
948000,488.061,0.0,95598.5,1.13587
952000,488.032,0.0,95598.8,1.13587
956000,488.032,0.0,95598.8,1.13587
960000,488.122,0.0,95597.8,1.13586
964000,488.122,0.0,95597.8,1.13586
972000,487.948,0.0,95599.8,1.13588
976000,488.018,0.0,95599.0,1.13587
980000,488.225,0.0,95596.6,1.13585
984000,488.145,0.0,95597.5,1.13586
992000,487.929,0.0,95600.0,1.13589
996000,488.098,0.0,95598.0,1.13586
1000000,488.215,0.0,95596.7,1.13585
1008000,488.131,0.0,95597.7,1.13586
1012000,488.004,0.0,95599.2,1.13588
1016000,488.117,0.0,95597.9,1.13586
1020000,488.046,0.0,95598.6,1.13587
1024000,488.267,0.0,95596.1,1.13584
1028000,488.093,0.0,95598.1,1.13586
1032000,488.079,0.0,95598.3,1.13587
1036000,488.075,0.0,95598.3,1.13587
1040000,488.206,0.0,95596.8,1.13585
1044000,487.92,0.0,95600.1,1.13589
1048000,488.154,0.0,95597.4,1.13586
1052000,488.028,0.0,95598.9,1.13587
1056000,488.225,0.0,95596.6,1.13585
1064000,488.07,0.0,95598.4,1.13587
1072000,488.051,0.0,95598.6,1.13587
1076000,488.028,0.0,95598.9,1.13587
1080000,488.046,0.0,95598.7,1.13587
1084000,488.291,0.0,95595.9,1.13584
1092000,487.948,0.0,95599.8,1.13588
1096000,487.953,0.0,95599.8,1.13588
1100000,488.023,0.0,95598.9,1.13587
1104000,487.976,0.0,95599.5,1.13588
1108000,488.136,0.0,95597.6,1.13586
1116000,488.244,0.0,95596.4,1.13584
1120000,488.093,0.0,95598.1,1.13586
1128000,488.075,0.0,95598.3,1.13587
1132000,488.037,0.0,95598.8,1.13587
1140000,488.018,0.0,95599.0,1.13587
