timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
10224000,0.0,0.0,487.997,0.0,0.0,0.0,0.0,1,0,0
16620000,47.3977418926,8.54559402323,487.998,-0.00082793,0.0168025,-0.000860774,0.00694708,1,1,0
34848000,47.3977419413,8.54559414184,487.992,0.00458776,0.0257295,0.00479845,0.00869675,1,1,0
616044000,47.397745082,8.54814199082,487.613,0.35696,191.798,0.383743,0.000234057,1,1,0
