timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
1344000,0.00254313,0.00454729,-0.0254224,0.0,0.0,0.0
1368000,0.00205316,0.00416258,-0.0250037,0.0,0.0,0.0
1396000,0.00222005,0.0050662,-0.0249314,0.0,0.0,0.0
1424000,0.00333779,0.00421273,-0.0249672,0.0,0.0,0.0
1452000,0.00308363,0.00376788,-0.024602,0.0,0.0,0.0
1480000,0.00404001,0.00456608,-0.0247998,0.0,0.0,0.0
1512000,0.0040851,0.005064,-0.0250359,0.0,0.0,0.0
1544000,0.00451411,0.00456725,-0.0246983,0.0,0.0,0.0
1572000,0.00427787,0.00588385,-0.0243288,0.0,0.0,0.0
1600000,0.00453566,0.00534906,-0.0244808,0.0,0.0,0.0
1628000,0.00550008,0.0055651,-0.0244584,0.0,0.0,0.0
1660000,0.00545534,0.00563396,-0.0243954,0.0,0.0,0.0
1692000,0.00452411,0.00464132,-0.0240404,0.0,0.0,0.0
1716000,0.00413161,0.00407081,-0.0241385,0.0,0.0,0.0
1744000,0.00451911,0.00308453,-0.0241202,0.0,0.0,0.0
1772000,0.004953,0.00276844,-0.0238982,0.0,0.0,0.0
1800000,0.00459272,0.00341143,-0.0238181,0.0,0.0,0.0
1828000,0.00476265,0.00285436,-0.0237914,0.0,0.0,0.0
1856000,0.00533873,0.00317718,-0.0241416,0.0,0.0,0.0
1888000,0.00638017,0.00436739,-0.0236334,0.0,0.0,0.0
1916000,0.00611619,0.00419994,-0.0233659,0.0,0.0,0.0
1948000,0.00725233,0.00570215,-0.0227973,0.0,0.0,0.0
1976000,0.00752947,0.00474754,-0.0225359,0.0,0.0,0.0
2004000,0.00701397,0.00428238,-0.0226195,0.0,0.0,0.0
2036000,0.00592196,0.0037446,-0.0223226,0.0,0.0,0.0
2064000,0.00556238,0.00284913,-0.021853,0.0,0.0,0.0
2096000,0.00517677,0.0034059,-0.0221067,0.0,0.0,0.0
2128000,0.00585884,0.00368885,-0.0217587,0.0,0.0,0.0
2156000,0.0066265,0.00311959,-0.0216593,0.0,0.0,0.0
2184000,0.00707017,0.00257577,-0.0213819,0.0,0.0,0.0
2208000,0.00681677,0.00264026,-0.0216676,0.0,0.0,0.0
2232000,0.00713924,0.00259922,-0.0215017,0.0,0.0,0.0
2260000,0.00737712,0.00277388,-0.0212292,0.0,0.0,0.0
2288000,0.00794939,0.00328251,-0.0207997,0.0,0.0,0.0
2320000,0.00814,0.00261417,-0.0206253,0.0,0.0,0.0
2352000,0.00874738,0.00344374,-0.0204741,0.0,0.0,0.0
2380000,0.00922514,0.00290527,-0.0203511,0.0,0.0,0.0
2412000,0.00824763,0.00380178,-0.0200393,0.0,0.0,0.0
2444000,0.00852963,0.0048176,-0.0200726,0.0,0.0,0.0
2468000,0.00780485,0.00513669,-0.019971,0.0,0.0,0.0
2492000,0.00795582,0.00571055,-0.0197945,0.0,0.0,0.0
2520000,0.00749427,0.0061706,-0.0198917,0.0,0.0,0.0
2552000,0.00762129,0.00552727,-0.0194836,0.0,0.0,0.0
