timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
12000,inf,1,0,0,0,0
1012000,inf,1,0,0,0,0
2012000,inf,1,0,0,0,0
3012000,inf,1,0,0,0,0
4012000,inf,1,0,0,0,0
5012000,inf,1,0,0,0,0
6012000,inf,1,0,0,0,0
7012000,inf,1,0,0,0,0
8012000,inf,1,0,0,0,0
9012000,inf,1,0,0,0,0
10012000,inf,1,0,0,0,0
11012000,inf,1,0,0,0,0
12012000,inf,1,0,0,0,0
13012000,inf,1,0,0,0,0
14012000,inf,1,0,0,0,0
15012000,inf,1,0,0,0,0
16012000,inf,1,0,0,0,0
17012000,inf,1,0,0,0,0
18012000,inf,1,0,0,0,0
19012000,inf,1,0,0,0,0
20012000,inf,1,0,0,0,0
21012000,inf,1,0,0,0,0
22012000,inf,1,0,0,0,0
23012000,inf,1,0,0,0,0
24012000,inf,1,0,0,0,0
25012000,inf,1,0,0,0,0
26012000,inf,1,0,0,0,0
27012000,inf,1,0,0,0,0
28012000,inf,1,0,0,0,0
29012000,inf,1,0,0,0,0
30012000,inf,1,0,0,0,0
31012000,inf,1,0,0,0,0
32012000,inf,1,0,0,0,0
33012000,inf,1,0,0,0,0
34012000,inf,1,0,0,0,0
35012000,inf,1,0,0,0,0
36012000,inf,1,0,0,0,0
37012000,inf,1,0,0,0,0
38012000,inf,1,0,0,0,0
39012000,inf,1,0,0,0,0
40012000,inf,1,0,0,0,0
41012000,inf,1,0,0,0,0
42012000,inf,1,0,0,0,0
43012000,inf,1,0,0,0,0
44012000,inf,1,0,0,0,0
45012000,inf,1,0,0,0,0
46012000,inf,1,0,0,0,0
47012000,inf,1,0,0,0,0
48012000,inf,1,0,0,0,0
49012000,inf,1,0,0,0,0
50012000,inf,1,0,0,0,0
51012000,inf,1,0,0,0,0
52012000,inf,1,0,0,0,0
53012000,inf,1,0,0,0,0
54012000,inf,1,0,0,0,0
55012000,inf,1,0,0,0,0
56012000,inf,1,0,0,0,0
57012000,inf,1,0,0,0,0
58012000,inf,1,0,0,0,0
59012000,inf,1,0,0,0,0
60012000,inf,1,0,0,0,0
61012000,inf,1,0,0,0,0
62012000,inf,1,0,0,0,0
63012000,inf,1,0,0,0,0
64012000,inf,1,0,0,0,0
65012000,inf,1,0,0,0,0
66012000,inf,1,0,0,0,0
67012000,inf,1,0,0,0,0
68012000,inf,1,0,0,0,0
69012000,inf,1,0,0,0,0
70012000,inf,1,0,0,0,0
70872000,inf,0,0,1,0,0
70972000,inf,0,0,0,0,0
71972000,inf,0,0,0,0,0
72972000,inf,0,0,0,0,0
73972000,inf,0,0,0,0,0
74972000,inf,0,0,0,0,0
75972000,inf,0,0,0,0,0
76972000,inf,0,0,0,0,0
77972000,inf,0,0,0,0,0
78972000,inf,0,0,0,0,0
79972000,inf,0,0,0,0,0
80972000,inf,0,0,0,0,0
81972000,inf,0,0,0,0,0
82972000,inf,0,0,0,0,0
83972000,inf,0,0,0,0,0
84972000,inf,0,0,0,0,0
85972000,inf,0,0,0,0,0
86972000,inf,0,0,0,0,0
87972000,inf,0,0,0,0,0
88972000,inf,0,0,0,0,0
89972000,inf,0,0,0,0,0
90972000,inf,0,0,0,0,0
91972000,inf,0,0,0,0,0
92972000,inf,0,0,0,0,0
93972000,inf,0,0,0,0,0
94972000,inf,0,0,0,0,0
95972000,inf,0,0,0,0,0
96972000,inf,0,0,0,0,0
97972000,inf,0,0,0,0,0
98972000,inf,0,0,0,0,0
99972000,inf,0,0,0,0,0
100972000,inf,0,0,0,0,0
101972000,inf,0,0,0,0,0
102972000,inf,0,0,0,0,0
103972000,inf,0,0,0,0,0
104972000,inf,0,0,0,0,0
105972000,inf,0,0,0,0,0
106972000,inf,0,0,0,0,0
107972000,inf,0,0,0,0,0
108972000,inf,0,0,0,0,0
109312000,inf,0,0,0,0,1
110312000,inf,0,0,0,0,1
111312000,inf,0,0,0,0,1
112312000,inf,0,0,0,0,1
113312000,inf,0,0,0,0,1
114312000,inf,0,0,0,0,1
115312000,inf,0,0,0,0,1
116312000,inf,0,0,0,0,1
117312000,inf,0,0,0,0,1
118312000,inf,0,0,0,0,1
119312000,inf,0,0,0,0,1
120312000,inf,0,0,0,0,1
121312000,inf,0,0,0,0,1
122312000,inf,0,0,0,0,1
123312000,inf,0,0,0,0,1
124312000,inf,0,0,0,0,1
125312000,inf,0,0,0,0,1
126312000,inf,0,0,0,0,1
127312000,inf,0,0,0,0,1
128312000,inf,0,0,0,0,1
129312000,inf,0,0,0,0,1
130312000,inf,0,0,0,0,1
131312000,inf,0,0,0,0,1
132312000,inf,0,0,0,0,1
133312000,inf,0,0,0,0,1
134312000,inf,0,0,0,0,1
135312000,inf,0,0,0,0,1
136312000,inf,0,0,0,0,1
137312000,inf,0,0,0,0,1
138312000,inf,0,0,0,0,1
138712000,inf,0,0,0,0,0
139712000,inf,0,0,0,0,0
140712000,inf,0,0,0,0,0
141712000,inf,0,0,0,0,0
