timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
72000,0.000974145,0.00851176,-0.00738667,0.0,0.0,0.0,0.0
104000,-0.00133031,-0.00461324,0.00307078,0.0,0.0,0.0,0.0
132000,0.00733689,-0.0104718,0.00386327,0.0,0.0,0.0,0.0
160000,-0.00144544,-0.00433661,-0.00731731,0.0,0.0,0.0,0.0
192000,0.00200461,-0.00528933,0.00475871,0.0,0.0,0.0,0.0
220000,-0.00286019,0.013118,0.0027,0.0,0.0,0.0,0.0
248000,0.00222157,0.00672053,0.00865176,0.0,0.0,0.0,0.0
280000,-0.00542171,-0.00540951,0.00248047,0.0,0.0,0.0,0.0
308000,-0.00276001,-0.00590149,-0.00247154,0.0,0.0,0.0,0.0
336000,0.0004559,-0.0103711,0.0078669,0.0,0.0,0.0,0.0
364000,0.00336028,-0.00156746,0.00128816,0.0,0.0,0.0,0.0
392000,-0.000120695,0.000668833,-0.00281859,0.0,0.0,0.0,0.0
420000,0.00294823,0.00137267,-0.00514319,0.0,0.0,0.0,0.0
452000,0.00521779,-0.000836155,0.00113973,0.0,0.0,0.0,0.0
480000,0.00311302,0.0054853,0.00588454,0.0,0.0,0.0,0.0
512000,0.00356003,-0.00290932,0.0036186,0.0,0.0,0.0,0.0
540000,0.00052252,0.00502864,0.00185599,0.0,0.0,0.0,0.0
572000,-0.00124594,-0.00439749,0.00317714,0.0,0.0,0.0,0.0
604000,-0.00599087,-0.00321788,0.00586699,0.0,0.0,0.0,0.0
632000,-0.00190605,0.00771648,-0.00325293,0.0,0.0,0.0,0.0
660000,-0.00175853,0.0023256,0.00654221,0.0,0.0,0.0,0.0
688000,0.000773572,-0.00328229,0.00716324,0.0,0.0,0.0,0.0
716000,0.0052124,-0.00854199,0.00279471,0.0,0.0,0.0,0.0
748000,-0.001385,0.00381257,0.00547555,0.0,0.0,0.0,0.0
780000,-0.000284679,-0.00229599,0.00619479,0.0,0.0,0.0,0.0
812000,-0.00800252,-0.00536285,-0.00106362,0.0,0.0,0.0,0.0
840000,-0.00522861,0.00342011,0.00562125,0.0,0.0,0.0,0.0
868000,-0.00436106,0.00609222,0.0046332,0.0,0.0,0.0,0.0
900000,0.00173822,-0.0101039,-0.00139964,0.0,0.0,0.0,0.0
928000,-0.000367026,0.00210465,0.00444423,0.0,0.0,0.0,0.0
960000,0.00303439,0.00443162,0.00382109,0.0,0.0,0.0,0.0
992000,0.00397169,-0.00839188,0.00363542,0.0,0.0,0.0,0.0
1024000,0.00246944,0.001896,-0.00339945,0.0,0.0,0.0,0.0
1052000,-0.00301445,0.00171656,-0.00738263,0.0,0.0,0.0,0.0
1084000,-0.000643906,0.00216122,-0.00138288,0.0,0.0,0.0,0.0
1116000,0.00739876,0.000145466,0.00510456,0.0,0.0,0.0,0.0
1144000,0.00459567,0.00387847,0.00585906,0.0,0.0,0.0,0.0
1172000,-0.00283553,-0.00425294,-0.000699736,0.0,0.0,0.0,0.0
1200000,0.00155075,-0.00545419,0.0079043,0.0,0.0,0.0,0.0
1228000,-0.00665788,-0.0051032,0.00312419,0.0,0.0,0.0,0.0
1260000,0.00227555,-0.00235941,0.00470626,0.0,0.0,0.0,0.0
1292000,-0.000844481,-0.00784407,0.00298913,0.0,0.0,0.0,0.0
1320000,0.000671518,-0.00150346,-0.00906439,0.0,0.0,0.0,0.0
1352000,0.00584825,0.00475994,0.00623147,0.0,0.0,0.0,0.0
1380000,-0.000279535,-0.00866346,-0.00133728,0.0,0.0,0.0,0.0
1412000,-0.00807409,0.00591101,0.00614276,0.0,0.0,0.0,0.0
1444000,0.00385833,0.00537776,-0.00297989,0.0,0.0,0.0,0.0
1472000,-0.00965995,-0.00879326,0.00506384,0.0,0.0,0.0,0.0
1500000,-0.00113668,0.00221769,0.00178518,0.0,0.0,0.0,0.0
1528000,-0.00204331,0.00691491,-0.0060731,0.0,0.0,0.0,0.0
1560000,0.00483822,-0.00212382,5.89139e-05,0.0,0.0,0.0,0.0
1588000,0.00191997,0.004484,0.00727892,0.0,0.0,0.0,0.0
1616000,-0.00897491,-0.00341037,0.00349969,0.0,0.0,0.0,0.0
1644000,0.000986933,0.00064632,-0.00247103,0.0,0.0,0.0,0.0
1676000,0.0109866,0.00375243,-0.000642071,0.0,0.0,0.0,0.0
1704000,0.00246097,0.000768645,0.00649687,0.0,0.0,0.0,0.0
1732000,-0.00225039,0.00682618,0.00368954,0.0,0.0,0.0,0.0
1764000,-0.00939846,0.00761013,-0.00202472,0.0,0.0,0.0,0.0
1792000,-0.00101154,-0.00439891,-0.000664687,0.0,0.0,0.0,0.0
1820000,-0.00573591,0.00466758,-0.000769872,0.0,0.0,0.0,0.0
1852000,-0.0060843,-0.00236087,0.00802948,0.0,0.0,0.0,0.0
1880000,-0.00531859,-0.0066076,-0.00472124,0.0,0.0,0.0,0.0
1912000,0.00689476,-0.00165187,-0.00148537,0.0,0.0,0.0,0.0
1940000,-0.00527577,-0.00810515,-0.000283552,0.0,0.0,0.0,0.0
1972000,-0.00141072,0.00964193,-0.00526372,0.0,0.0,0.0,0.0
2000000,0.00606036,0.00415123,-0.00398495,0.0,0.0,0.0,0.0
2032000,0.00833282,-0.000366744,-0.00739855,0.0,0.0,0.0,0.0
2064000,0.00273175,0.00683137,-0.00776065,0.0,0.0,0.0,0.0
2096000,0.00361447,0.00264987,0.00550369,0.0,0.0,0.0,0.0
2128000,-0.00683557,-0.00285489,-0.00214582,0.0,0.0,0.0,0.0
2160000,-0.00931521,0.00777602,-0.0045181,0.0,0.0,0.0,0.0
2188000,-0.000665354,-0.00414044,-0.00171902,0.0,0.0,0.0,0.0
