timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
36488000,0.00549463,0.0266196,-0.295288,0.0087132,nan,-0.000680142,-0.000283477,-1.24917,0.0,0.0,-1.9511,0.0,0.0,8.0,nan,nan,nan
36676000,0.00536676,0.0265663,-0.555828,0.0087132,nan,-0.000680142,-0.000283477,-1.47941,0.0,0.0,-0.607105,0.0,0.0,8.0,nan,nan,nan
36860000,0.00524161,0.0265142,-0.831483,0.0087132,nan,-0.000680142,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
37048000,0.00514959,0.0264609,-1.1135,0.0087132,nan,-0.000360142,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
37236000,0.00508188,0.0264076,-1.39553,0.0087132,nan,-0.000360142,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
37420000,0.00501562,0.0263554,-1.67155,0.0087132,nan,-0.000360142,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
37608000,0.00494791,0.0263021,-1.95357,0.0087132,nan,-0.000360142,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
37796000,0.0048866,0.0262488,-2.23559,0.0087132,nan,-4.01421e-05,-0.000283477,-1.50011,0.0,0.0,0.0,-0.8,0.0,0.0,nan,nan,nan
37980000,0.00487923,0.0261967,-2.51122,0.0087132,nan,-4.01421e-05,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
38168000,0.00487171,0.0261436,-2.79227,0.0087132,nan,-4.01421e-05,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
38356000,0.00486421,0.0260906,-3.07262,0.0087132,nan,-4.01421e-05,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
38540000,0.00485689,0.026039,-3.34613,0.0087132,nan,-4.01421e-05,-0.000283477,-1.50011,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
38728000,0.00484943,0.0260038,-3.62471,0.0087132,nan,-4.01421e-05,3.76978e-05,-1.50011,0.0,0.000203086,0.0,0.0,0.0,0.0,nan,nan,nan
38916000,0.00484195,0.0260143,-3.90431,0.0087132,nan,-4.01421e-05,7.55501e-05,-1.50011,0.0,0.000203086,0.0,0.0,0.0,0.0,nan,nan,nan
