timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
1252000,0.0,0.0,0.0,0.000139831,3.08415e-05,-0.0104065,0.0,0.0,0.0,-0.000445524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302407,0.302407,4.22874,0.0,0.0,0.0,0.0932335,0.0,0.0,0.0,0.0,0.0,0.000554891,0.00163789,0.00198032,0.0,0.0,0.0,0.0,0.0,0.0
1444000,0.0,0.0,0.0,-1.09814e-05,0.000201362,-0.089447,0.0,0.0,0.0,0.00435766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286331,0.286331,4.19285,0.0,0.0,0.0,0.0924547,0.0,0.0,0.0,0.0,0.0,0.000427502,0.0063067,0.00797088,0.0,0.0,0.0,0.0,0.0,0.0
1636000,0.0,0.0,0.0,-4.00072e-05,0.000282593,0.0899353,0.0,0.0,0.0,0.00375921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278365,0.278365,4.18638,0.0,0.0,0.0,0.0920286,0.0,0.0,0.0,0.0,0.0,0.00067638,0.00847133,0.0101726,0.0,0.0,0.0,0.0,0.0,0.0
1828000,0.0,0.0,0.0,0.000224302,2.88271e-05,0.00228882,0.0,0.0,0.0,-0.00202192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273087,0.273087,4.18773,0.0,0.0,0.0,0.0917052,0.0,0.0,0.0,0.0,0.0,0.000424804,0.000857129,0.00485747,0.0,0.0,0.0,0.0,0.0,0.0
2020000,0.0,0.0,0.0,0.000674639,-0.000161057,0.00817871,0.0,0.0,0.0,0.0076672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269392,0.269392,4.18545,0.0,0.0,0.0,0.0914784,0.0,0.0,0.0,0.0,0.0,0.000549753,0.00228285,0.0064675,0.0,0.0,0.0,0.0,0.0,0.0
2212000,0.0,0.0,0.0,0.00110508,-0.000276048,-0.0249329,0.0,0.0,0.0,0.00237144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267545,0.267545,4.18333,0.0,0.0,0.0,0.0913142,0.0,0.0,0.0,0.0,0.0,0.000462397,0.000967337,0.00375616,0.0,0.0,0.0,0.0,0.0,0.0
2404000,0.0,0.0,0.0,0.00132033,-0.000331116,-0.0328369,0.0,0.0,0.0,0.000499233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266903,0.266903,4.1808,0.0,0.0,0.0,0.0912045,0.0,0.0,0.0,0.0,0.0,0.000297122,0.00375616,0.00746886,0.0,0.0,0.0,0.0,0.0,0.0
2596000,0.0,0.0,0.0,0.0015426,-0.000585572,0.0382385,0.0,0.0,0.0,0.00283665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266535,0.266535,4.17399,0.0,0.0,0.0,0.0911084,0.0,0.0,0.0,0.0,0.0,0.000234143,0.0062451,0.00481696,0.0,0.0,0.0,0.0,0.0,0.0
2788000,0.0,0.0,0.0,0.00176906,-0.000929228,-0.0262146,0.0,0.0,0.0,0.00136975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266479,0.266479,4.16686,0.0,0.0,0.0,0.0910416,0.0,0.0,0.0,0.0,0.0,0.000145955,0.00505073,0.00451784,0.0,0.0,0.0,0.0,0.0,0.0
2980000,0.0,0.0,0.0,0.00210982,-0.00124881,-0.0491333,0.0,0.0,0.0,-0.00167257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266757,0.266757,4.15988,0.0,0.0,0.0,0.0909832,0.0,0.0,0.0,0.0,0.0,0.000124921,0.00211484,0.00190635,0.0,0.0,0.0,0.0,0.0,0.0
3172000,0.0,0.0,0.0,0.00208994,-0.00150139,0.066925,0.0,0.0,0.0,-0.00377351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266727,0.266727,4.1521,0.0,0.0,0.0,0.0909363,0.0,0.0,0.0,0.0,0.0,0.000146005,0.0028878,0.00417795,0.0,0.0,0.0,0.0,0.0,0.0
3364000,0.0,0.0,0.0,0.00220626,-0.00143998,0.000335693,0.0,0.0,0.0,0.00498868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266629,0.266629,4.14569,0.0,0.0,0.0,0.0908998,0.0,0.0,0.0,0.0,0.0,0.000181769,0.00552028,0.00569882,0.0,0.0,0.0,0.0,0.0,0.0
3556000,0.0,0.0,0.0,0.00225557,-0.00138675,0.0410461,0.0,0.0,0.0,-0.00725227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266736,0.266736,4.14204,0.0,0.0,0.0,0.0908736,0.0,0.0,0.0,0.0,0.0,0.000196245,0.00284106,0.00240523,0.0,0.0,0.0,0.0,0.0,0.0
3748000,0.0,0.0,0.0,0.00186606,-0.00140986,0.039917,0.0,0.0,0.0,0.00239266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26657,0.26657,4.13911,0.0,0.0,0.0,0.0908555,0.0,0.0,0.0,0.0,0.0,0.000197813,0.00290241,0.00268571,0.0,0.0,0.0,0.0,0.0,0.0
3940000,0.0,0.0,0.0,0.00150971,-0.00132883,0.069519,0.0,0.0,0.0,0.00254692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266396,0.266396,4.13706,0.0,0.0,0.0,0.0908407,0.0,0.0,0.0,0.0,0.0,0.000172164,0.00194407,0.00264674,0.0,0.0,0.0,0.0,0.0,0.0
4132000,0.0,0.0,0.0,0.00132812,-0.00124845,-0.0231934,0.0,0.0,0.0,0.00472126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266143,0.266143,4.13569,0.0,0.0,0.0,0.0908303,0.0,0.0,0.0,0.0,0.0,0.000152883,0.00246569,0.00228107,0.0,0.0,0.0,0.0,0.0,0.0
4324000,0.0,0.0,0.0,0.00125907,-0.00138592,0.00656128,0.0,0.0,0.0,-0.00284493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265534,0.265534,4.13326,0.0,0.0,0.0,0.0908208,0.0,0.0,0.0,0.0,0.0,0.000184885,0.00531283,0.00825658,0.0,0.0,0.0,0.0,0.0,0.0
4516000,0.0,0.0,0.0,0.00118554,-0.00135124,-0.09021,0.0,0.0,0.0,-0.00273643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265271,0.265271,4.13257,0.0,0.0,0.0,0.0908162,0.0,0.0,0.0,0.0,0.0,0.000160009,0.000905944,0.00255555,0.0,0.0,0.0,0.0,0.0,0.0
