timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1312000,0.0110001,0.000499942,-0.0195017,0.99999,-0.000196711,-0.000403356,0.0045443,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1344000,0.0105,0.00200008,0.000997822,0.99999,-0.000190189,-0.000376601,0.00454167,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1372000,-0.00100004,-0.00549997,-0.000502349,0.99999,-0.000172374,-0.000359312,0.0044634,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1400000,-0.0115,0.00600003,0.0089966,0.99999,-0.000207204,-0.000411467,0.0044686,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1428000,0.00599997,0.00550002,-0.00250357,0.99999,-0.000265493,-0.00034124,0.00445174,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1456000,-0.00300004,-0.00299996,0.00749456,0.99999,-0.000269468,-0.000316434,0.00439212,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1484000,-0.00400004,-0.00300002,0.0129951,0.99999,-0.000326987,-0.000383736,0.00446461,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1512000,-0.00250009,0.00350002,-0.000508086,0.99999,-0.00034454,-0.000415939,0.00446611,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1540000,-0.00200013,0.00650002,0.00999228,0.99999,-0.000375279,-0.000381488,0.00441041,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1568000,-0.00450006,-0.0175,-0.0120085,0.99999,-0.000349348,-0.000479176,0.00436899,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1596000,-0.0105002,0.00250001,-9.00205e-06,0.99999,-0.000376931,-0.000446635,0.00437156,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1628000,-0.00450022,0.005,0.00498803,0.99999,-0.000457258,-0.000464825,0.00436756,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1656000,-0.00100025,-0.00500002,0.00798657,0.99999,-0.00045352,-0.000470551,0.00435631,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1684000,-0.00350028,0.0055,-0.00151593,0.999991,-0.000367056,-0.000396805,0.00430078,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1716000,0.00299964,0.0045,-0.00451615,0.999991,-0.00034352,-0.000340025,0.00431043,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1744000,0.0119996,0.00400001,-0.000516361,0.999991,-0.000352054,-0.0002496,0.00430211,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1772000,0.00349961,-0.00949996,0.00698373,0.999991,-0.00040516,-0.000250408,0.00427774,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1800000,0.00549957,-0.000499993,0.0104851,0.999991,-0.000371093,-0.000285912,0.00427106,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1828000,-0.00300043,0.00350011,-0.00151356,0.999991,-0.000396347,-0.000238762,0.00424845,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1860000,-0.00750041,0.00150016,-0.0115178,0.999991,-0.000459295,-0.000262705,0.00428505,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1888000,-0.0105004,-0.00849968,-0.000522343,0.999991,-0.000551789,-0.000382094,0.00421603,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1920000,-0.00450037,-0.00649952,-0.00702374,0.999991,-0.000516787,-0.000374927,0.00413533,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1948000,-0.00700034,-0.0039994,-0.00152633,0.999991,-0.000603328,-0.00047649,0.00407093,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
1976000,0.000499761,0.00200094,0.0114728,0.999992,-0.000625624,-0.000392857,0.00404432,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2008000,0.0119998,0.00500114,0.00247243,0.999992,-0.00054683,-0.000329791,0.00404766,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2040000,0.00449992,0.0010016,0.00146619,0.999992,-0.000475861,-0.000301867,0.00398962,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2068000,-0.00550004,-0.0079981,-3.57528e-05,0.999992,-0.000473964,-0.000254359,0.00389902,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2096000,0.00300007,-0.0054978,-0.00303762,0.999992,-0.000424743,-0.000295643,0.00393837,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2128000,0.00500023,0.00450289,0.00496069,0.999992,-0.000477623,-0.0002993,0.00389234,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2156000,-0.0109996,0.0105033,-0.00403744,0.999992,-0.000551671,-0.000261104,0.00386773,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2184000,-0.00399954,-0.0054962,0.00296203,0.999993,-0.000596684,-0.000226802,0.0038217,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2212000,-0.00149943,0.0070043,-0.00454218,0.999992,-0.000570642,-0.000207135,0.00385748,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2244000,-0.00449911,0.00400544,-0.00204061,0.999992,-0.000610433,-0.000215619,0.00383738,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2272000,0.00100109,-0.00249389,-0.00604009,0.999993,-0.000606836,-0.000321042,0.00371101,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2304000,-0.00299875,0.00200684,0.00395567,0.999993,-0.000682823,-0.00026553,0.00368887,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2332000,0.00450162,0.00300836,-0.00554596,0.999993,-0.000654597,-0.000264648,0.00363057,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2360000,-0.00549818,9.11969e-06,-0.00604687,0.999993,-0.000820284,-0.000284353,0.00361651,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2392000,0.00300202,-0.00748996,-0.0105515,0.999993,-0.000698049,-0.0002638,0.00356809,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2424000,-0.00299747,-0.0119881,-0.00504844,0.999993,-0.00067934,-0.000368417,0.00358211,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2452000,0.00650278,-0.00298714,-0.00304893,0.999993,-0.000676906,-0.000393183,0.00353923,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2480000,-0.00849691,0.000513934,-0.00456003,0.999993,-0.000646258,-0.000474706,0.00353297,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2508000,0.00250373,-0.00448382,0.000939906,0.999994,-0.000621693,-0.000522093,0.00353278,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2536000,0.00050412,0.00301738,0.00293722,0.999993,-0.000606388,-0.000487371,0.00354813,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2564000,-0.00049545,0.00501863,0.000446754,0.999994,-0.000645062,-0.000434777,0.00348347,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2592000,0.00800503,-0.000980012,-0.0065576,0.999994,-0.000549484,-0.000453522,0.00352451,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2620000,0.00450559,-0.00847863,0.00593941,0.999993,-0.000489761,-0.000506237,0.0036275,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2648000,-0.0139932,-0.00447568,-0.00255025,0.999993,-0.000445993,-0.000524866,0.00359125,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2680000,0.00650752,-0.0134742,-0.00605035,0.999993,-0.000489768,-0.000629316,0.00363247,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2708000,-0.00249173,-0.00547252,-0.00505329,0.999993,-0.000396733,-0.000670506,0.00357519,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2740000,0.00350997,0.00453088,-0.00306188,0.999994,-0.000463761,-0.000613627,0.0035196,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2772000,0.0020109,-0.00246732,-0.00356427,0.999994,-0.000469474,-0.000608371,0.00345031,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2804000,-0.00248701,-0.0179635,0.00193189,0.999994,-0.000430848,-0.000658676,0.00343569,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2836000,-0.000985921,0.00353853,0.00793217,0.999994,-0.000405949,-0.000734776,0.00342408,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2864000,0.00351654,-0.0069572,-0.0125706,0.999994,-0.000371148,-0.000793094,0.00341921,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2892000,-0.0094821,0.0030451,0.0119321,0.999994,-0.000414296,-0.000838489,0.00346113,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2920000,0.00601919,-0.00245266,0.00694054,0.999993,-0.0003885,-0.000815386,0.00352362,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2948000,-0.0124794,4.97021e-05,0.00793942,0.999993,-0.000414263,-0.000868305,0.0035481,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
2976000,0.00352365,-0.00244525,-0.00356626,0.999993,-0.000459986,-0.000876071,0.0035441,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3004000,0.0090252,0.000557269,0.00143692,0.999993,-0.000399623,-0.000852175,0.00355403,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3036000,-0.00797315,0.00555986,0.00993325,0.999993,-0.000393997,-0.000770585,0.00362743,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3068000,0.0110303,0.0110653,0.00442904,0.999993,-0.000365972,-0.000697504,0.00365448,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3100000,0.00253207,-0.00543213,-0.0150672,0.999993,-0.000370326,-0.000719408,0.00355205,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3128000,-0.00996418,-0.00992678,-0.0125715,0.999993,-0.000442949,-0.000726953,0.00354455,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3156000,-0.00246224,-0.0064241,0.00142597,0.999994,-0.000470556,-0.00068223,0.00346424,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3184000,0.00554168,-0.00241873,-0.0165717,0.999994,-0.000454022,-0.000623172,0.00338289,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3216000,-0.00395634,-0.00291604,0.00742531,0.999994,-0.000582624,-0.00061142,0.00343943,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3244000,0.0085457,-0.00741324,-0.00357245,0.999994,-0.000553264,-0.000704928,0.00346978,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3272000,-0.0089502,0.0120925,-0.00857611,0.999994,-0.000606104,-0.000679595,0.00343608,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3304000,0.00305181,-0.00390463,-0.00307088,0.999994,-0.000596016,-0.000686839,0.00343198,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3332000,0.00155388,0.00459838,-0.00357297,0.999994,-0.000550313,-0.000726847,0.00338435,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3360000,0.00605788,-0.0048956,0.00192232,0.999994,-0.000475694,-0.000727525,0.00344885,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3392000,0.0100598,-0.00989261,0.000916262,0.999994,-0.000449096,-0.000753153,0.00343753,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3420000,-0.0074381,0.00161049,0.0139115,0.999994,-0.000487276,-0.000740929,0.00345306,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3452000,6.58106e-05,0.00611649,0.0103996,0.999994,-0.000437604,-0.000707045,0.00343614,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3484000,0.000567791,0.00461964,0.00740191,0.999994,-0.000516107,-0.000613536,0.00339487,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3512000,-0.0049302,0.0101228,-0.00209682,0.999994,-0.000517173,-0.000547803,0.00330177,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3544000,-0.00292619,0.0121293,-0.00709061,0.999994,-0.000534576,-0.000458807,0.00330051,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3576000,0.0120758,-0.000867571,0.00242001,0.999994,-0.000538763,-0.000404464,0.00336101,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3608000,0.00107969,0.00413869,-0.00308231,0.999994,-0.000438824,-0.00037465,0.00341353,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3640000,0.00958167,-0.0018582,-0.0100868,0.999994,-0.000402773,-0.000356008,0.00333753,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3668000,0.00108364,-0.00885524,-0.00358267,0.999994,-0.000379274,-0.00038142,0.00331703,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3700000,-0.0079124,-0.000349556,-0.00158901,0.999994,-0.000350976,-0.00040049,0.00333959,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3732000,0.00558955,0.00515312,0.00390718,0.999994,-0.000375904,-0.00032768,0.00334533,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3760000,-0.00190647,-0.00734179,-9.85389e-05,0.999994,-0.000416388,-0.000302171,0.00329659,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3788000,0.00859552,0.00366065,-0.00259132,0.999995,-0.000385916,-0.000254522,0.00319516,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3816000,9.74094e-05,0.00616302,-0.000595814,0.999995,-0.000346417,-0.000195815,0.00315842,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3844000,-0.00990069,-0.00433468,-0.000594878,0.999995,-0.000354407,-0.000299361,0.00312976,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3876000,0.00410319,-0.0208301,0.00640321,0.999995,-0.000339756,-0.000336684,0.0031649,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3904000,-0.00339496,0.00617198,0.0134048,0.999995,-0.000325162,-0.000274306,0.00314126,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3932000,-0.00339311,0.00317411,0.00641029,0.999995,-0.00041354,-0.000229367,0.00318616,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3960000,0.00861059,0.00817828,-0.00508707,0.999995,-0.000407671,-0.000251237,0.00320882,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
3992000,0.000112384,-0.00881977,-0.0135899,0.999995,-0.000371052,-0.000221982,0.00312454,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4020000,-0.00738583,0.000182253,-0.00359409,0.999995,-0.000317169,-0.000229979,0.00300947,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4048000,0.000117699,-0.0103139,0.00890428,0.999995,-0.00039337,-0.000219417,0.00306451,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4080000,0.00111936,-0.00331201,0.00140625,0.999995,-0.000365618,-0.000227536,0.00303529,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4108000,0.00312109,0.0166898,-0.00158941,0.999995,-0.00034408,-0.000123902,0.00303356,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4136000,0.00212461,0.00769352,-0.00559238,0.999995,-0.000381279,-0.000102536,0.00302597,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4168000,-0.00387359,-0.00580463,0.0124085,0.999995,-0.000359631,-9.30193e-05,0.00310469,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4196000,0.0126281,-0.000802844,0.00440217,0.999995,-0.000275909,-3.63964e-05,0.00315741,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4228000,0.000131735,-0.00179919,-0.0145845,0.999995,-0.000200809,-0.000133818,0.00314878,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4256000,-0.0028665,0.00220254,-0.00408324,0.999995,-0.000212871,-0.000112583,0.00312295,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4284000,0.00163539,0.00470434,0.00492146,0.999995,-0.000185083,-4.22547e-05,0.00319816,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4316000,0.00363917,-0.00179214,0.00392232,0.999995,-0.000138007,-4.87928e-05,0.00314932,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4348000,-0.00735892,0.0032096,0.00692709,0.999995,-0.000101914,-5.44406e-05,0.0031861,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4376000,0.00364509,-0.00528696,-0.00606655,0.999995,-0.000119604,-5.92934e-05,0.00318336,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4404000,-0.00585294,0.0102147,-0.0010673,0.999995,-0.000174123,-7.22149e-05,0.00320951,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4432000,-0.00585098,-0.00328361,0.00493368,0.999995,-0.000175915,1.10004e-05,0.0032906,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4460000,-0.00784903,-0.00178191,0.0039174,0.999995,-0.000257451,3.59149e-05,0.00321224,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4488000,-0.00134518,0.00172138,0.00741956,0.999995,-0.00022306,0.000137291,0.00316357,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4520000,-0.00234334,-0.000776999,-0.000575754,0.999995,-0.000172338,0.000127717,0.00314546,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4552000,0.00616037,-0.0022738,0.00344321,0.999995,-0.000129495,9.50921e-05,0.003053,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4584000,0.00216215,0.00122778,-0.00455138,0.999995,-0.000157584,8.33202e-05,0.00304911,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4612000,0.0016639,0.00622929,-0.00554484,0.999996,-0.000146813,0.000120583,0.00296657,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4644000,0.00916748,-0.000767685,-0.00252968,0.999996,-0.00012219,0.000222944,0.00299537,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
4676000,0.00216924,-0.000766285,-0.0130434,0.999996,-4.80912e-05,0.00017644,0.00289888,0.999993,-1.06685e-08,-6.53426e-07,0.00363403,1
