timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
12000,inf,1,0,0,0,0
1012000,inf,1,0,0,0,0
2012000,inf,1,0,0,0,0
3012000,inf,1,0,0,0,0
4012000,inf,1,0,0,0,0
5012000,inf,1,0,0,0,0
6012000,inf,1,0,0,0,0
7012000,inf,1,0,0,0,0
8012000,inf,1,0,0,0,0
9012000,inf,1,0,0,0,0
10012000,inf,1,0,0,0,0
11012000,inf,1,0,0,0,0
12012000,inf,1,0,0,0,0
13012000,inf,1,0,0,0,0
14012000,inf,1,0,0,0,0
15012000,inf,1,0,0,0,0
16012000,inf,1,0,0,0,0
17012000,inf,1,0,0,0,0
17932000,inf,1,0,0,0,1
18092000,inf,1,0,0,0,0
18172000,inf,0,0,1,0,0
18252000,inf,0,0,0,0,0
19252000,inf,0,0,0,0,0
20252000,inf,0,0,0,0,0
21252000,inf,0,0,0,0,0
22252000,inf,0,0,0,0,0
23252000,inf,0,0,0,0,0
24252000,inf,0,0,0,0,0
25252000,inf,0,0,0,0,0
26252000,inf,0,0,0,0,0
27252000,inf,0,0,0,0,0
28252000,inf,0,0,0,0,0
29252000,inf,0,0,0,0,0
30252000,inf,0,0,0,0,0
31252000,inf,0,0,0,0,0
32252000,inf,0,0,0,0,0
33252000,inf,0,0,0,0,0
34252000,inf,0,0,0,0,0
35252000,inf,0,0,0,0,0
36252000,inf,0,0,0,0,0
37252000,inf,0,0,0,0,0
38252000,inf,0,0,0,0,0
39252000,inf,0,0,0,0,0
40252000,inf,0,0,0,0,0
41252000,inf,0,0,0,0,0
42252000,inf,0,0,0,0,0
43252000,inf,0,0,0,0,0
44252000,inf,0,0,0,0,0
45252000,inf,0,0,0,0,0
46252000,inf,0,0,0,0,0
47252000,inf,0,0,0,0,0
48252000,inf,0,0,0,0,0
49252000,inf,0,0,0,0,0
50252000,inf,0,0,0,0,0
51252000,inf,0,0,0,0,0
52252000,inf,0,0,0,0,0
52992000,inf,0,0,0,0,1
53992000,inf,0,0,0,0,1
54992000,inf,0,0,0,0,1
55992000,inf,0,0,0,0,1
56992000,inf,0,0,0,0,1
57992000,inf,0,0,0,0,1
58992000,inf,0,0,0,0,1
59992000,inf,0,0,0,0,1
60992000,inf,0,0,0,0,1
61992000,inf,0,0,0,0,1
62992000,inf,0,0,0,0,1
63992000,inf,0,0,0,0,1
64992000,inf,0,0,0,0,1
65992000,inf,0,0,0,0,1
66992000,inf,0,0,0,0,1
67992000,inf,0,0,0,0,1
68992000,inf,0,0,0,0,1
69992000,inf,0,0,0,0,1
70992000,inf,0,0,0,0,1
71992000,inf,0,0,0,0,1
72992000,inf,0,0,0,0,1
73992000,inf,0,0,0,0,1
74992000,inf,0,0,0,0,1
75992000,inf,0,0,0,0,1
76992000,inf,0,0,0,0,1
77992000,inf,0,0,0,0,1
78992000,inf,0,0,0,0,1
79992000,inf,0,0,0,0,1
80992000,inf,0,0,0,0,1
81992000,inf,0,0,0,0,1
82412000,inf,0,0,0,0,0
83412000,inf,0,0,0,0,0
84412000,inf,0,0,0,0,0
85412000,inf,0,0,0,0,0
86412000,inf,0,0,0,0,0
87412000,inf,0,0,0,0,0
88412000,inf,0,0,0,0,0
89412000,inf,0,0,0,0,0
90412000,inf,0,0,0,0,0
91412000,inf,0,0,0,0,0
92412000,inf,0,0,0,0,0
93412000,inf,0,0,0,0,0
94412000,inf,0,0,0,0,0
95412000,inf,0,0,0,0,0
96412000,inf,0,0,0,0,0
97412000,inf,0,0,0,0,0
98412000,inf,0,0,0,0,0
99412000,inf,0,0,0,0,0
100412000,inf,0,0,0,0,0
101412000,inf,0,0,0,0,0
102412000,inf,0,0,0,0,0
103412000,inf,0,0,0,0,0
104412000,inf,0,0,0,0,0
105412000,inf,0,0,0,0,0
106412000,inf,0,0,0,0,0
107412000,inf,0,0,0,0,0
108412000,inf,0,0,0,0,0
109412000,inf,0,0,0,0,0
110412000,inf,0,0,0,0,0
111412000,inf,0,0,0,0,0
112412000,inf,0,0,0,0,0
113412000,inf,0,0,0,0,0
114412000,inf,0,0,0,0,0
115412000,inf,0,0,0,0,0
116412000,inf,0,0,0,0,0
117412000,inf,0,0,0,0,0
118352000,inf,0,0,0,0,1
119352000,inf,0,0,0,0,1
120352000,inf,0,0,0,0,1
121352000,inf,0,0,0,0,1
122352000,inf,0,0,0,0,1
123352000,inf,0,0,0,0,1
124352000,inf,0,0,0,0,1
125352000,inf,0,0,0,0,1
126352000,inf,0,0,0,0,1
127352000,inf,0,0,0,0,1
128352000,inf,0,0,0,0,1
129352000,inf,0,0,0,0,1
130352000,inf,0,0,0,0,1
131352000,inf,0,0,0,0,1
132352000,inf,0,0,0,0,1
133352000,inf,0,0,0,0,1
134352000,inf,0,0,0,0,1
135352000,inf,0,0,0,0,1
136352000,inf,0,0,0,0,1
137352000,inf,0,0,0,0,1
138352000,inf,0,0,0,0,1
139352000,inf,0,0,0,0,1
140352000,inf,0,0,0,0,1
