timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
1000000,0,4e+06,1.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,1,43
2000000,0,4e+06,1.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,1,43
2000000,0,4e+06,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,37
3000000,0,4e+06,1.0,0.0,395.749,0.0,0,0,0,0,0,0,0,0,0,1,37
3000000,0,4e+06,1.0,0.0,606.944,0.0,0,0,0,0,0,2,0,0,0,1,43
4000000,0,4e+06,1.0,0.0,14.8865,0.0,0,0,0,0,0,2,0,0,0,1,43
4000000,0,4e+06,1.0,0.0,9.83068,0.0,0,0,0,0,0,0,0,0,0,1,37
5000000,0,4e+06,1.0,0.0,14.8845,0.0,0,0,0,0,0,2,0,0,0,1,43
5000000,0,4e+06,1.0,0.0,9.70119,0.0,0,0,0,0,0,0,0,0,0,1,37
6000000,0,4e+06,1.0,0.0,14.8825,0.0,0,0,0,0,0,2,0,0,0,1,43
6000000,0,4e+06,1.0,0.0,9.76593,0.0,0,0,0,0,0,0,0,0,0,1,37
7000000,0,4e+06,1.0,0.0,9.73008,0.0,0,0,0,0,0,0,0,0,0,1,37
7000000,0,4e+06,1.0,0.0,14.8765,0.0,0,0,0,0,0,2,0,0,0,1,43
8000000,0,4e+06,1.0,0.0,14.9522,0.0,0,0,0,0,0,2,0,0,0,1,43
8000000,0,4e+06,1.0,0.0,9.79283,0.0,0,0,0,0,0,0,0,0,0,1,37
9000000,0,4e+06,1.0,0.0,14.8865,0.0,0,0,0,0,0,2,0,0,0,1,43
9000000,0,4e+06,1.0,0.0,9.74104,0.0,0,0,0,0,0,0,0,0,0,1,37
10000000,0,4e+06,1.0,0.0,14.8466,0.0,0,0,0,0,0,2,0,0,0,1,43
10000000,0,4e+06,1.0,0.0,9.72112,0.0,0,0,0,0,0,0,0,0,0,1,37
11000000,0,4e+06,1.0,0.0,14.8825,0.0,0,0,0,0,0,2,0,0,0,1,43
11000000,0,4e+06,1.0,0.0,9.76793,0.0,0,0,0,0,0,0,0,0,0,1,37
12000000,0,4e+06,1.0,0.0,14.9123,0.0,0,0,0,0,0,2,0,0,0,1,43
12000000,0,4e+06,1.0,0.0,9.75,0.0,0,0,0,0,0,0,0,0,0,1,37
13000000,0,4e+06,1.0,0.0,14.997,0.0,0,0,0,0,0,2,0,0,0,1,43
13000000,0,4e+06,1.0,0.0,9.77291,0.0,0,0,0,0,0,0,0,0,0,1,37
14000000,0,4e+06,1.0,0.0,14.8865,0.0,0,0,0,0,0,2,0,0,0,1,43
14000000,0,4e+06,1.0,0.0,9.76095,0.0,0,0,0,0,0,0,0,0,0,1,37
15000000,0,4e+06,1.0,0.0,14.8466,0.0,0,0,0,0,0,2,0,0,0,1,43
15000000,0,4e+06,1.0,0.0,9.70119,0.0,0,0,0,0,0,0,0,0,0,1,37
16000000,0,4e+06,1.0,0.0,15.3127,0.0,0,0,0,0,0,2,0,0,0,1,43
16000000,0,4e+06,1.0,0.0,10.3396,0.0,0,0,0,0,0,0,0,0,0,1,37
17000000,0,4e+06,1.0,0.0,11.5588,0.0,0,0,0,0,0,0,0,0,0,1,37
17000000,0,4e+06,1.0,0.0,16.6693,0.0,0,0,0,0,0,2,0,0,0,1,43
18000000,0,4e+06,1.0,0.0,10.7629,0.0,0,0,0,0,0,0,0,0,0,1,37
18000000,0,4e+06,1.0,0.0,16.6843,0.0,0,0,0,0,0,2,0,0,0,1,43
19000000,0,4e+06,1.0,0.0,9.35159,0.0,0,0,0,0,0,0,0,0,0,1,37
19000000,0,4e+06,1.0,0.0,16.8187,0.0,0,0,0,0,0,2,0,0,0,1,43
20000000,0,4e+06,1.0,0.0,16.9143,0.0,0,0,0,0,0,2,0,0,0,1,43
20000000,0,4e+06,1.0,0.0,9.4502,0.0,0,0,0,0,0,0,0,0,0,1,37
21000000,0,4e+06,1.0,0.0,9.33366,0.0,0,0,0,0,0,0,0,0,0,1,37
21000000,0,4e+06,1.0,0.0,16.8506,0.0,0,0,0,0,0,2,0,0,0,1,43
22000000,0,4e+06,1.0,0.0,9.51494,0.0,0,0,0,0,0,0,0,0,0,1,37
22000000,0,4e+06,1.0,0.0,16.8685,0.0,0,0,0,0,0,2,0,0,0,1,43
23000000,0,4e+06,1.0,0.0,9.38347,0.0,0,0,0,0,0,0,0,0,0,1,37
23000000,0,4e+06,1.0,0.0,16.8845,0.0,0,0,0,0,0,2,0,0,0,1,43
24000000,0,4e+06,1.0,0.0,9.49004,0.0,0,0,0,0,0,0,0,0,0,1,37
24000000,0,4e+06,1.0,0.0,16.8785,0.0,0,0,0,0,0,2,0,0,0,1,43
25000000,0,4e+06,1.0,0.0,9.37052,0.0,0,0,0,0,0,0,0,0,0,1,37
25000000,0,4e+06,1.0,0.0,16.7789,0.0,0,0,0,0,0,2,0,0,0,1,43
26000000,0,4e+06,1.0,0.0,16.9104,0.0,0,0,0,0,0,2,0,0,0,1,43
26000000,0,4e+06,1.0,0.0,9.39143,0.0,0,0,0,0,0,0,0,0,0,1,37
27000000,0,4e+06,1.0,0.0,9.43526,0.0,0,0,0,0,0,0,0,0,0,1,37
27000000,0,4e+06,1.0,0.0,16.9482,0.0,0,0,0,0,0,2,0,0,0,1,43
28000000,0,4e+06,1.0,0.0,9.46315,0.0,0,0,0,0,0,0,0,0,0,1,37
28000000,0,4e+06,1.0,0.0,17.0289,0.0,0,0,0,0,0,2,0,0,0,1,43
29000000,0,4e+06,1.0,0.0,9.41036,0.0,0,0,0,0,0,0,0,0,0,1,37
29000000,0,4e+06,1.0,0.0,16.8187,0.0,0,0,0,0,0,2,0,0,0,1,43
30000000,0,4e+06,1.0,0.0,9.39143,0.0,0,0,0,0,0,0,0,0,0,1,37
30000000,0,4e+06,1.0,0.0,16.8765,0.0,0,0,0,0,0,2,0,0,0,1,43
31000000,0,4e+06,1.0,0.0,9.39243,0.0,0,0,0,0,0,0,0,0,0,1,37
31000000,0,4e+06,1.0,0.0,16.8506,0.0,0,0,0,0,0,2,0,0,0,1,43
32000000,0,4e+06,1.0,0.0,16.8685,0.0,0,0,0,0,0,2,0,0,0,1,43
32000000,0,4e+06,1.0,0.0,9.45617,0.0,0,0,0,0,0,0,0,0,0,1,37
33000000,0,4e+06,1.0,0.0,9.44223,0.0,0,0,0,0,0,0,0,0,0,1,37
33000000,0,4e+06,1.0,0.0,16.8845,0.0,0,0,0,0,0,2,0,0,0,1,43
33848000,33848000,4e+06,1.0,0.0438247,17.8426,0.0,190,191,6,0,0,2,0,0,1,1,43
34000000,0,4e+06,1.0,0.0,9.44223,0.0,0,0,0,0,0,0,0,0,0,1,37
34848000,34844000,4e+06,1.0,0.170319,25.8526,0.0,190,191,6,0,0,2,0,0,1,1,43
35000000,0,4e+06,1.0,0.0,9.38147,0.0,0,0,0,0,0,0,0,0,0,1,37
35848000,34844000,4e+06,1.0,0.143426,25.9691,0.0,190,191,6,0,0,2,0,0,1,1,43
36000000,0,4e+06,1.0,0.0,9.41335,0.0,0,0,0,0,0,0,0,0,0,1,37
36848000,35848000,4e+06,1.0,0.0209163,25.9472,0.0,190,191,6,0,0,2,0,0,1,1,43
36856000,36852000,4e+06,1.0,0.0209163,25.9472,0.0,190,191,6,0,0,2,0,0,1,1,43
37000000,0,4e+06,1.0,0.0,10.2978,0.0,0,0,0,0,0,0,0,0,0,1,37
37856000,37852000,4e+06,1.0,0.0209163,27.1594,0.0,190,191,6,0,0,2,0,0,1,1,43
38000000,0,4e+06,1.0,0.0,14.6424,0.0,0,0,0,0,0,0,0,0,0,1,37
38856000,37852000,4e+06,1.0,0.0209163,26.7809,0.0,190,191,6,0,0,2,0,0,1,1,43
39000000,0,4e+06,1.0,0.0,14.5896,0.0,0,0,0,0,0,0,0,0,0,1,37
39856000,38856000,4e+06,1.0,0.0209163,26.8048,0.0,190,191,6,0,0,2,0,0,1,1,43
39864000,39860000,4e+06,1.0,0.0209163,26.8048,0.0,190,191,6,0,0,2,0,0,1,1,43
40000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
40864000,39860000,4e+06,1.0,0.0209163,26.8157,0.0,190,191,6,0,0,2,0,0,1,1,43
41000000,0,4e+06,1.0,0.0,14.5717,0.0,0,0,0,0,0,0,0,0,0,1,37
41864000,40864000,4e+06,1.0,0.0209163,26.8386,0.0,190,191,6,0,0,2,0,0,1,1,43
41868000,41868000,4e+06,1.0,0.0209163,26.8386,0.0,190,191,6,0,0,2,0,0,1,1,43
42000000,0,4e+06,1.0,0.0,14.6942,0.0,0,0,0,0,0,0,0,0,0,1,37
42868000,41868000,4e+06,1.0,0.0209163,26.8506,0.0,190,191,6,0,0,2,0,0,1,1,43
43000000,0,4e+06,1.0,0.0,14.6215,0.0,0,0,0,0,0,0,0,0,0,1,37
43868000,42868000,4e+06,1.0,0.0209163,26.8486,0.0,190,191,6,0,0,2,0,0,1,1,43
43876000,43872000,4e+06,1.0,0.0209163,26.8486,0.0,190,191,6,0,0,2,0,0,1,1,43
44000000,0,4e+06,1.0,0.0,14.6106,0.0,0,0,0,0,0,0,0,0,0,1,37
44876000,44872000,4e+06,1.0,0.0209163,26.8645,0.0,190,191,6,0,0,2,0,0,1,1,43
45000000,0,4e+06,1.0,0.0,14.5946,0.0,0,0,0,0,0,0,0,0,0,1,37
45876000,44872000,4e+06,1.0,0.0209163,26.8835,0.0,190,191,6,0,0,2,0,0,1,1,43
46000000,0,4e+06,1.0,0.0,14.5707,0.0,0,0,0,0,0,0,0,0,0,1,37
46876000,45876000,4e+06,1.0,0.0209163,27.0747,0.0,190,191,6,0,0,2,0,0,1,1,43
47000000,0,4e+06,1.0,0.0,14.6733,0.0,0,0,0,0,0,0,0,0,0,1,37
47876000,46876000,4e+06,1.0,0.0209163,26.9183,0.0,190,191,6,0,0,2,0,0,1,1,43
47884000,47880000,4e+06,1.0,0.0209163,26.9183,0.0,190,191,6,0,0,2,0,0,1,1,43
48000000,0,4e+06,1.0,0.0,14.6424,0.0,0,0,0,0,0,0,0,0,0,1,37
48884000,48880000,4e+06,1.0,0.0209163,26.7809,0.0,190,191,6,0,0,2,0,0,1,1,43
49000000,0,4e+06,1.0,0.0,14.5896,0.0,0,0,0,0,0,0,0,0,0,1,37
49884000,49880000,4e+06,1.0,0.0209163,26.8048,0.0,190,191,6,0,0,2,0,0,1,1,43
50000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
50884000,49880000,4e+06,1.0,0.0209163,26.8157,0.0,190,191,6,0,0,2,0,0,1,1,43
51000000,0,4e+06,1.0,0.0,14.5717,0.0,0,0,0,0,0,0,0,0,0,1,37
51884000,50884000,4e+06,1.0,0.0209163,27.0757,0.0,190,191,6,0,0,2,0,0,1,1,43
51892000,51888000,4e+06,1.0,0.0209163,27.0757,0.0,190,191,6,0,0,2,0,0,1,1,43
52000000,0,4e+06,1.0,0.0,14.6942,0.0,0,0,0,0,0,0,0,0,0,1,37
52892000,51888000,4e+06,1.0,0.0209163,26.9422,0.0,190,191,6,0,0,2,0,0,1,1,43
53000000,0,4e+06,1.0,0.0,14.6215,0.0,0,0,0,0,0,0,0,0,0,1,37
53892000,52892000,4e+06,1.0,0.0209163,26.8486,0.0,190,191,6,0,0,2,0,0,1,1,43
54000000,0,4e+06,1.0,0.0,14.6106,0.0,0,0,0,0,0,0,0,0,0,1,37
54892000,53892000,4e+06,1.0,0.0209163,27.0329,0.0,190,191,6,0,0,2,0,0,1,1,43
54900000,54896000,4e+06,1.0,0.0209163,27.0329,0.0,190,191,6,0,0,2,0,0,1,1,43
55000000,0,4e+06,1.0,0.0,14.5946,0.0,0,0,0,0,0,0,0,0,0,1,37
55900000,54896000,4e+06,1.0,0.0209163,26.8835,0.0,190,191,6,0,0,2,0,0,1,1,43
56000000,0,4e+06,1.0,0.0,14.5707,0.0,0,0,0,0,0,0,0,0,0,1,37
56900000,55900000,4e+06,1.0,0.0209163,26.7709,0.0,190,191,6,0,0,2,0,0,1,1,43
57000000,0,4e+06,1.0,0.0,14.6733,0.0,0,0,0,0,0,0,0,0,0,1,37
57900000,56900000,4e+06,1.0,0.0209163,26.9183,0.0,190,191,6,0,0,2,0,0,1,1,43
57908000,57904000,4e+06,1.0,0.0209163,26.9183,0.0,190,191,6,0,0,2,0,0,1,1,43
58000000,0,4e+06,1.0,0.0,14.6424,0.0,0,0,0,0,0,0,0,0,0,1,37
58908000,57904000,4e+06,1.0,0.0209163,26.7809,0.0,190,191,6,0,0,2,0,0,1,1,43
59000000,0,4e+06,1.0,0.0,14.5896,0.0,0,0,0,0,0,0,0,0,0,1,37
59908000,58908000,4e+06,1.0,0.0209163,26.8048,0.0,190,191,6,0,0,2,0,0,1,1,43
59916000,59912000,4e+06,1.0,0.0209163,26.8048,0.0,190,191,6,0,0,2,0,0,1,1,43
60000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
60916000,60916000,4e+06,1.0,0.0209163,26.8157,0.0,190,191,6,0,0,2,0,0,1,1,43
61000000,0,4e+06,1.0,0.0,14.5717,0.0,0,0,0,0,0,0,0,0,0,1,37
61916000,60916000,4e+06,1.0,0.0209163,26.8785,0.0,190,191,6,0,0,2,0,0,1,1,43
62000000,0,4e+06,1.0,0.0,14.6942,0.0,0,0,0,0,0,0,0,0,0,1,37
62916000,61916000,4e+06,1.0,0.0209163,27.0916,0.0,190,191,6,0,0,2,0,0,1,1,43
62924000,62920000,4e+06,1.0,0.0209163,27.0916,0.0,190,191,6,0,0,2,0,0,1,1,43
63000000,0,4e+06,1.0,0.0,14.6215,0.0,0,0,0,0,0,0,0,0,0,1,37
63924000,62920000,4e+06,1.0,0.0209163,26.8486,0.0,190,191,6,0,0,2,0,0,1,1,43
64000000,0,4e+06,1.0,0.0,14.6106,0.0,0,0,0,0,0,0,0,0,0,1,37
64924000,63924000,4e+06,1.0,0.0209163,26.737,0.0,190,191,6,0,0,2,0,0,1,1,43
65000000,0,4e+06,1.0,0.0,14.6225,0.0,0,0,0,0,0,0,0,0,0,1,37
65924000,63924000,4e+06,1.0,0.108566,26.9054,0.0,190,191,6,0,0,2,0,0,1,1,43
66000000,0,4e+06,1.0,0.0,14.5817,0.0,0,0,0,0,0,0,0,0,0,1,37
66924000,63924000,4e+06,1.0,0.0,26.7719,0.0,190,191,6,0,0,2,0,0,1,1,43
67000000,0,4e+06,1.0,0.0,14.6733,0.0,0,0,0,0,0,0,0,0,0,1,37
67924000,63924000,4e+06,1.0,0.0,26.9193,0.0,190,191,6,0,0,2,0,0,1,1,43
68000000,0,4e+06,1.0,0.0,14.6424,0.0,0,0,0,0,0,0,0,0,0,1,37
68924000,63924000,4e+06,1.0,0.0,26.7819,0.0,190,191,6,0,0,2,0,0,1,1,43
69000000,0,4e+06,1.0,0.0,14.5896,0.0,0,0,0,0,0,0,0,0,0,1,37
69572000,69568000,4e+06,1.0,0.0438247,27.0269,0.0,190,191,6,0,0,2,0,0,1,1,43
70000000,0,4e+06,1.0,0.0,14.6265,0.0,0,0,0,0,0,0,0,0,0,1,37
70572000,70568000,4e+06,1.0,0.170319,26.9861,0.0,190,191,6,0,0,2,0,0,1,1,43
71000000,0,4e+06,1.0,0.0,14.5827,0.0,0,0,0,0,0,0,0,0,0,1,37
71572000,70568000,4e+06,1.0,0.0209163,27.1434,0.0,190,191,6,0,0,2,0,0,1,1,43
72000000,0,4e+06,1.0,0.0,14.6942,0.0,0,0,0,0,0,0,0,0,0,1,37
72572000,71572000,4e+06,1.0,1.1006,26.8735,0.0,190,191,6,0,0,2,0,0,1,1,43
73000000,0,4e+06,1.0,0.0,14.6325,0.0,0,0,0,0,0,0,0,0,0,1,37
73572000,72572000,4e+06,1.0,1.31574,26.8874,0.0,190,191,6,0,0,2,0,0,1,1,43
73580000,73576000,4e+06,1.0,1.31574,26.8874,0.0,190,191,6,0,0,2,0,0,1,1,43
74000000,0,4e+06,1.0,0.0,14.6106,0.0,0,0,0,0,0,0,0,0,0,1,37
74580000,74576000,4e+06,1.0,1.31574,26.745,0.0,190,191,6,0,0,2,0,0,1,1,43
75000000,0,4e+06,1.0,0.0,14.5498,0.0,0,0,0,0,0,0,0,0,0,1,37
75580000,75576000,4e+06,1.0,1.31574,26.8855,0.0,190,191,6,0,0,2,0,0,1,1,43
76000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
76580000,76576000,4e+06,1.0,1.31574,26.9353,0.0,190,191,6,0,0,2,0,0,1,1,43
77000000,0,4e+06,1.0,0.0,14.6733,0.0,0,0,0,0,0,0,0,0,0,1,37
77580000,77576000,4e+06,1.0,1.31574,27.0229,0.0,190,191,6,0,0,2,0,0,1,1,43
78000000,0,4e+06,1.0,0.0,14.6424,0.0,0,0,0,0,0,0,0,0,0,1,37
78580000,77576000,4e+06,1.0,1.31574,26.7619,0.0,190,191,6,0,0,2,0,0,1,1,43
79000000,0,4e+06,1.0,0.0,14.5896,0.0,0,0,0,0,0,0,0,0,0,1,37
79580000,78580000,4e+06,1.0,1.31574,27.1295,0.0,190,191,6,0,0,2,0,0,1,1,43
79588000,79584000,4e+06,1.0,1.31574,27.1295,0.0,190,191,6,0,0,2,0,0,1,1,43
80000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
80588000,80584000,4e+06,1.0,1.31574,26.7729,0.0,190,191,6,0,0,2,0,0,1,1,43
81000000,0,4e+06,1.0,0.0,14.5717,0.0,0,0,0,0,0,0,0,0,0,1,37
81588000,80584000,4e+06,1.0,1.38048,26.8287,0.0,190,191,6,0,0,2,0,0,1,1,43
82000000,0,4e+06,1.0,0.0,14.6942,0.0,0,0,0,0,0,0,0,0,0,1,37
82588000,81588000,4e+06,1.0,1.31574,26.8576,0.0,190,191,6,0,0,2,0,0,1,1,43
83000000,0,4e+06,1.0,0.0,14.6215,0.0,0,0,0,0,0,0,0,0,0,1,37
83588000,82588000,4e+06,1.0,1.31574,26.8098,0.0,190,191,6,0,0,2,0,0,1,1,43
83600000,83596000,4e+06,1.0,1.31574,26.8098,0.0,190,191,6,0,0,2,0,0,1,1,43
