timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
188000,0,32767,0,32767,0,0,32767
196000,0,32767,0,32767,0,0,32767
200000,0,32767,0,32767,0,0,32767
204000,0,32767,0,32767,0,0,32767
208000,0,32767,0,32767,0,0,32767
212000,0,32767,0,32767,0,0,32767
216000,0,32767,0,32767,0,0,32767
220000,0,32767,0,32767,0,0,32767
224000,0,32767,0,32767,0,0,32767
228000,0,32767,0,32767,0,0,32767
236000,0,32767,0,32767,0,0,32767
240000,0,32767,0,32767,0,0,32767
244000,0,32767,0,32767,0,0,32767
248000,0,32767,0,32767,0,0,32767
252000,0,32767,0,32767,0,0,32767
256000,0,32767,0,32767,0,0,32767
264000,0,32767,0,32767,0,0,32767
268000,0,32767,0,32767,0,0,32767
272000,0,32767,0,32767,0,0,32767
276000,0,32767,0,32767,0,0,32767
280000,0,32767,0,32767,0,0,32767
284000,0,32767,0,32767,0,0,32767
288000,0,32767,0,32767,0,0,32767
292000,0,32767,0,32767,0,0,32767
296000,0,32767,0,32767,0,0,32767
300000,0,32767,0,32767,0,0,32767
304000,0,32767,0,32767,0,0,32767
308000,0,32767,0,32767,0,0,32767
312000,0,32767,0,32767,0,0,32767
320000,0,32767,0,32767,0,0,32767
324000,0,32767,0,32767,0,0,32767
328000,0,32767,0,32767,0,0,32767
332000,0,32767,0,32767,0,0,32767
336000,0,32767,0,32767,0,0,32767
340000,0,32767,0,32767,0,0,32767
344000,0,32767,0,32767,0,0,32767
352000,0,32767,0,32767,0,0,32767
356000,0,32767,0,32767,0,0,32767
360000,0,32767,0,32767,0,0,32767
364000,0,32767,0,32767,0,0,32767
368000,0,32767,0,32767,0,0,32767
372000,0,32767,0,32767,0,0,32767
376000,0,32767,0,32767,0,0,32767
380000,0,32767,0,32767,0,0,32767
384000,0,32767,0,32767,0,0,32767
388000,0,32767,0,32767,0,0,32767
392000,0,32767,0,32767,0,0,32767
396000,0,32767,0,32767,0,0,32767
400000,0,32767,0,32767,0,0,32767
404000,0,32767,0,32767,0,0,32767
