timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1312000,0.0,-0.0,0.00703519,0.0,0.999994,0.0,0.0,0.00351759,0.0,0.0,-0.08,1,0,0,0,0,0
1412000,0.0,-0.0,0.00687969,0.0,0.999994,0.0,0.0,0.00343984,0.0,0.0,-0.08,1,0,0,0,0,0
1508000,0.0,-0.0,0.00676958,0.0,0.999994,0.0,0.0,0.00338478,0.0,0.0,-0.08,1,0,0,0,0,0
1608000,0.0,-0.0,0.00701321,0.0,0.999994,0.0,0.0,0.0035066,0.0,0.0,-0.08,1,0,0,0,0,0
1704000,0.0,-0.0,0.00698242,0.0,0.999994,0.0,0.0,0.0034912,0.0,0.0,-0.08,1,0,0,0,0,0
1800000,0.0,-0.0,0.00729398,0.0,0.999993,0.0,0.0,0.00364698,0.0,0.0,-0.08,1,0,0,0,0,0
1892000,0.0,-0.0,0.00706411,0.0,0.999994,0.0,0.0,0.00353205,0.0,0.0,-0.08,1,0,0,0,0,0
1988000,0.0,-0.0,0.0071689,0.0,0.999994,0.0,0.0,0.00358444,0.0,0.0,-0.08,1,0,0,0,0,0
2084000,0.0,-0.0,0.00736139,0.0,0.999993,0.0,0.0,0.00368069,0.0,0.0,-0.08,1,0,0,0,0,0
2180000,0.0,-0.0,0.00716885,0.0,0.999994,0.0,0.0,0.00358442,0.0,0.0,-0.08,1,0,0,0,0,0
2272000,0.0,-0.0,0.00715203,0.0,0.999994,0.0,0.0,0.00357601,0.0,0.0,-0.08,1,0,0,0,0,0
2368000,0.0,-0.0,0.00730555,0.0,0.999993,0.0,0.0,0.00365277,0.0,0.0,-0.08,1,0,0,0,0,0
2468000,0.0,-0.0,0.00734594,0.0,0.999993,0.0,0.0,0.00367296,0.0,0.0,-0.08,1,0,0,0,0,0
2568000,0.0,-0.0,0.00748298,0.0,0.999993,0.0,0.0,0.00374148,0.0,0.0,-0.08,1,0,0,0,0,0
2664000,0.0,-0.0,0.00736313,0.0,0.999993,0.0,0.0,0.00368156,0.0,0.0,-0.08,1,0,0,0,0,0
2760000,0.0,-0.0,0.00725452,0.0,0.999993,0.0,0.0,0.00362725,0.0,0.0,-0.08,1,0,0,0,0,0
2860000,0.0,-0.0,0.00709281,0.0,0.999994,0.0,0.0,0.0035464,0.0,0.0,-0.08,1,0,0,0,0,0
2956000,0.0,-0.0,0.00710245,0.0,0.999994,0.0,0.0,0.00355122,0.0,0.0,-0.08,1,0,0,0,0,0
3056000,0.0,-0.0,0.00690909,0.0,0.999994,0.0,0.0,0.00345454,0.0,0.0,-0.08,1,0,0,0,0,0
3152000,0.0,-0.0,0.00697115,0.0,0.999994,0.0,0.0,0.00348557,0.0,0.0,-0.08,1,0,0,0,0,0
3252000,0.0,-0.0,0.00682561,0.0,0.999994,0.0,0.0,0.0034128,0.0,0.0,-0.08,1,0,0,0,0,0
3352000,0.0,-0.0,0.00715497,0.0,0.999994,0.0,0.0,0.00357748,0.0,0.0,-0.08,1,0,0,0,0,0
3452000,0.0,-0.0,0.00711239,0.0,0.999994,0.0,0.0,0.00355619,0.0,0.0,-0.08,1,0,0,0,0,0
3552000,0.0,-0.0,0.00709223,0.0,0.999994,0.0,0.0,0.00354611,0.0,0.0,-0.08,1,0,0,0,0,0
3648000,0.0,-0.0,0.00735221,0.0,0.999993,0.0,0.0,0.0036761,0.0,0.0,-0.08,1,0,0,0,0,0
3748000,0.0,-0.0,0.00721621,0.0,0.999994,0.0,0.0,0.0036081,0.0,0.0,-0.08,1,0,0,0,0,0
3848000,0.0,-0.0,0.00748889,0.0,0.999993,0.0,0.0,0.00374444,0.0,0.0,-0.08,1,0,0,0,0,0
3940000,0.0,-0.0,0.00749533,0.0,0.999993,0.0,0.0,0.00374766,0.0,0.0,-0.08,1,0,0,0,0,0
4036000,0.0,-0.0,0.0073596,0.0,0.999993,0.0,0.0,0.00367979,0.0,0.0,-0.08,1,0,0,0,0,0
4132000,0.0,-0.0,0.00710814,0.0,0.999994,0.0,0.0,0.00355406,0.0,0.0,-0.08,1,0,0,0,0,0
4232000,0.0,-0.0,0.00693905,0.0,0.999994,0.0,0.0,0.00346952,0.0,0.0,-0.08,1,0,0,0,0,0
4332000,0.0,-0.0,0.00680661,0.0,0.999994,0.0,0.0,0.0034033,0.0,0.0,-0.08,1,0,0,0,0,0
4424000,0.0,-0.0,0.00668315,0.0,0.999994,0.0,0.0,0.00334157,0.0,0.0,-0.08,1,0,0,0,0,0
4524000,0.0,-0.0,0.00661933,0.0,0.999995,0.0,0.0,0.00330966,0.0,0.0,-0.08,1,0,0,0,0,0
4624000,0.0,-0.0,0.00673728,0.0,0.999994,0.0,0.0,0.00336863,0.0,0.0,-0.08,1,0,0,0,0,0
4720000,0.0,-0.0,0.00697593,0.0,0.999994,0.0,0.0,0.00348796,0.0,0.0,-0.08,1,0,0,0,0,0
4816000,0.0,-0.0,0.0067396,0.0,0.999994,0.0,0.0,0.00336979,0.0,0.0,-0.08,1,0,0,0,0,0
4912000,0.0,-0.0,0.00684322,0.0,0.999994,0.0,0.0,0.0034216,0.0,0.0,-0.08,1,0,0,0,0,0
5012000,0.0,-0.0,0.00675143,0.0,0.999994,0.0,0.0,0.00337571,0.0,0.0,-0.08,1,0,0,0,0,0
5108000,0.0,-0.0,0.00642268,0.0,0.999995,0.0,0.0,0.00321133,0.0,0.0,-0.08,1,0,0,0,0,0
5208000,0.0,-0.0,0.00599087,0.0,0.999996,0.0,0.0,0.00299543,0.0,0.0,-0.08,1,0,0,0,0,0
5304000,0.0,-0.0,0.00598411,0.0,0.999996,0.0,0.0,0.00299205,0.0,0.0,-0.08,1,0,0,0,0,0
5400000,0.0,-0.0,0.00612276,0.0,0.999995,0.0,0.0,0.00306138,0.0,0.0,-0.08,1,0,0,0,0,0
5500000,0.0,-0.0,0.00596045,0.0,0.999996,0.0,0.0,0.00298022,0.0,0.0,-0.08,1,0,0,0,0,0
5596000,0.0,-0.0,0.00588777,0.0,0.999996,0.0,0.0,0.00294388,0.0,0.0,-0.08,1,0,0,0,0,0
5692000,0.0,-0.0,0.00570644,0.0,0.999996,0.0,0.0,0.00285321,0.0,0.0,-0.08,1,0,0,0,0,0
5788000,0.0,-0.0,0.0057517,0.0,0.999996,0.0,0.0,0.00287585,0.0,0.0,-0.08,1,0,0,0,0,0
5888000,0.0,-0.0,0.00587814,0.0,0.999996,0.0,0.0,0.00293907,0.0,0.0,-0.08,1,0,0,0,0,0
5988000,0.0,-0.0,0.00597137,0.0,0.999996,0.0,0.0,0.00298568,0.0,0.0,-0.08,1,0,0,0,0,0
6084000,0.0,-0.0,0.0059418,0.0,0.999996,0.0,0.0,0.00297089,0.0,0.0,-0.08,1,0,0,0,0,0
6180000,0.0,-0.0,0.00598772,0.0,0.999996,0.0,0.0,0.00299386,0.0,0.0,-0.08,1,0,0,0,0,0
6280000,0.0,-0.0,0.00584145,0.0,0.999996,0.0,0.0,0.00292072,0.0,0.0,-0.08,1,0,0,0,0,0
6380000,0.0,-0.0,0.00626408,0.0,0.999995,0.0,0.0,0.00313203,0.0,0.0,-0.08,1,0,0,0,0,0
6476000,0.0,-0.0,0.00637141,0.0,0.999995,0.0,0.0,0.0031857,0.0,0.0,-0.08,1,0,0,0,0,0
6576000,0.0,-0.0,0.00655436,0.0,0.999995,0.0,0.0,0.00327717,0.0,0.0,-0.08,1,0,0,0,0,0
6672000,0.0,-0.0,0.00687005,0.0,0.999994,0.0,0.0,0.00343502,0.0,0.0,-0.08,1,0,0,0,0,0
6772000,0.0,-0.0,0.0069319,0.0,0.999994,0.0,0.0,0.00346594,0.0,0.0,-0.08,1,0,0,0,0,0
6872000,0.0,-0.0,0.00715171,0.0,0.999994,0.0,0.0,0.00357585,0.0,0.0,-0.08,1,0,0,0,0,0
6972000,0.0,-0.0,0.00727684,0.0,0.999993,0.0,0.0,0.00363841,0.0,0.0,-0.08,1,0,0,0,0,0
7072000,0.0,-0.0,0.00734392,0.0,0.999993,0.0,0.0,0.00367195,0.0,0.0,-0.08,1,0,0,0,0,0
7168000,0.0,-0.0,0.00767316,0.0,0.999993,0.0,0.0,0.00383657,0.0,0.0,-0.08,1,0,0,0,0,0
7264000,0.0,-0.0,0.00808219,0.0,0.999992,0.0,0.0,0.00404109,0.0,0.0,-0.08,1,0,0,0,0,0
7364000,0.0,-0.0,0.00842764,0.0,0.999991,0.0,0.0,0.00421381,0.0,0.0,-0.08,1,0,0,0,0,0
7456000,0.0,-0.0,0.00845049,0.0,0.999991,0.0,0.0,0.00422523,0.0,0.0,-0.08,1,0,0,0,0,0
7552000,0.0,-0.0,0.00866957,0.0,0.999991,0.0,0.0,0.00433477,0.0,0.0,-0.08,1,0,0,0,0,0
7652000,0.0,-0.0,0.0087252,0.0,0.99999,0.0,0.0,0.00436259,0.0,0.0,-0.08,1,0,0,0,0,0
7748000,0.0,-0.0,0.00899102,0.0,0.99999,0.0,0.0,0.0044955,0.0,0.0,-0.08,1,0,0,0,0,0
7848000,0.0,-0.0,0.00919949,0.0,0.999989,0.0,0.0,0.00459973,0.0,0.0,-0.08,1,0,0,0,0,0
7944000,0.0,-0.0,0.00946855,0.0,0.999989,0.0,0.0,0.00473426,0.0,0.0,-0.08,1,0,0,0,0,0
8044000,0.0,-0.0,0.00954892,0.0,0.999989,0.0,0.0,0.00477444,0.0,0.0,-0.08,1,0,0,0,0,0
8140000,0.0,-0.0,0.00955561,0.0,0.999989,0.0,0.0,0.00477779,0.0,0.0,-0.08,1,0,0,0,0,0
8236000,0.0,-0.0,0.00955698,0.0,0.999989,0.0,0.0,0.00477847,0.0,0.0,-0.08,1,0,0,0,0,0
8332000,0.0,-0.0,0.00957803,0.0,0.999989,0.0,0.0,0.00478899,0.0,0.0,-0.08,1,0,0,0,0,0
8432000,0.0,-0.0,0.00979558,0.0,0.999988,0.0,0.0,0.00489777,0.0,0.0,-0.08,1,0,0,0,0,0
8532000,0.0,-0.0,0.00994356,0.0,0.999988,0.0,0.0,0.00497176,0.0,0.0,-0.08,1,0,0,0,0,0
8632000,0.0,-0.0,0.0102147,0.0,0.999987,0.0,0.0,0.00510734,0.0,0.0,-0.08,1,0,0,0,0,0
8728000,0.0,-0.0,0.010503,0.0,0.999986,0.0,0.0,0.00525147,0.0,0.0,-0.08,1,0,0,0,0,0
8828000,0.0,-0.0,0.0105962,0.0,0.999986,0.0,0.0,0.00529806,0.0,0.0,-0.08,1,0,0,0,0,0
8924000,0.0,-0.0,0.0105203,0.0,0.999986,0.0,0.0,0.00526013,0.0,0.0,-0.08,1,0,0,0,0,0
9020000,0.0,-0.0,0.0103873,0.0,0.999987,0.0,0.0,0.00519363,0.0,0.0,-0.08,1,0,0,0,0,0
9120000,0.0,-0.0,0.0103878,0.0,0.999987,0.0,0.0,0.00519389,0.0,0.0,-0.08,1,0,0,0,0,0
