timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
12000,inf,1,0,0,0,0
1012000,inf,1,0,0,0,0
2012000,inf,1,0,0,0,0
3012000,inf,1,0,0,0,0
4012000,inf,1,0,0,0,0
5012000,inf,1,0,0,0,0
6012000,inf,1,0,0,0,0
7012000,inf,1,0,0,0,0
8012000,inf,1,0,0,0,0
9012000,inf,1,0,0,0,0
10012000,inf,1,0,0,0,0
11012000,inf,1,0,0,0,0
12012000,inf,1,0,0,0,0
13012000,inf,1,0,0,0,0
14012000,inf,1,0,0,0,0
15012000,inf,1,0,0,0,0
16012000,inf,1,0,0,0,0
17012000,inf,1,0,0,0,0
18012000,inf,1,0,0,0,0
19012000,inf,1,0,0,0,0
20012000,inf,1,0,0,0,0
21012000,inf,1,0,0,0,0
22012000,inf,1,0,0,0,0
23012000,inf,1,0,0,0,0
24012000,inf,1,0,0,0,0
25012000,inf,1,0,0,0,0
26012000,inf,1,0,0,0,0
27012000,inf,1,0,0,0,0
28012000,inf,1,0,0,0,0
29012000,inf,1,0,0,0,0
30012000,inf,1,0,0,0,0
31012000,inf,1,0,0,0,0
32012000,inf,1,0,0,0,0
33012000,inf,1,0,0,0,0
34012000,inf,1,0,0,0,0
35012000,inf,1,0,0,0,0
35992000,inf,1,0,0,0,1
36032000,inf,1,0,0,0,0
36112000,inf,0,0,1,0,0
36212000,inf,0,0,0,0,0
37212000,inf,0,0,0,0,0
38212000,inf,0,0,0,0,0
39212000,inf,0,0,0,0,0
40212000,inf,0,0,0,0,0
41212000,inf,0,0,0,0,0
42212000,inf,0,0,0,0,0
43212000,inf,0,0,0,0,0
44212000,inf,0,0,0,0,0
45212000,inf,0,0,0,0,0
46212000,inf,0,0,0,0,0
47212000,inf,0,0,0,0,0
48212000,inf,0,0,0,0,0
49212000,inf,0,0,0,0,0
50212000,inf,0,0,0,0,0
51212000,inf,0,0,0,0,0
52212000,inf,0,0,0,0,0
53212000,inf,0,0,0,0,0
54212000,inf,0,0,0,0,0
55212000,inf,0,0,0,0,0
56212000,inf,0,0,0,0,0
57212000,inf,0,0,0,0,0
58212000,inf,0,0,0,0,0
59212000,inf,0,0,0,0,0
60212000,inf,0,0,0,0,0
61212000,inf,0,0,0,0,0
62212000,inf,0,0,0,0,0
63212000,inf,0,0,0,0,0
64212000,inf,0,0,0,0,0
65212000,inf,0,0,0,0,0
66212000,inf,0,0,0,0,0
67212000,inf,0,0,0,0,0
68212000,inf,0,0,0,0,0
69212000,inf,0,0,0,0,0
70212000,inf,0,0,0,0,0
71212000,inf,0,0,0,0,0
71592000,inf,0,0,0,0,1
72592000,inf,0,0,0,0,1
73592000,inf,0,0,0,0,1
74592000,inf,0,0,0,0,1
75592000,inf,0,0,0,0,1
76592000,inf,0,0,0,0,1
77592000,inf,0,0,0,0,1
78592000,inf,0,0,0,0,1
79592000,inf,0,0,0,0,1
80592000,inf,0,0,0,0,1
81592000,inf,0,0,0,0,1
82592000,inf,0,0,0,0,1
83592000,inf,0,0,0,0,1
84592000,inf,0,0,0,0,1
85592000,inf,0,0,0,0,1
86592000,inf,0,0,0,0,1
87592000,inf,0,0,0,0,1
88592000,inf,0,0,0,0,1
89592000,inf,0,0,0,0,1
90592000,inf,0,0,0,0,1
91592000,inf,0,0,0,0,1
92592000,inf,0,0,0,0,1
93592000,inf,0,0,0,0,1
94592000,inf,0,0,0,0,1
95592000,inf,0,0,0,0,1
96592000,inf,0,0,0,0,1
97592000,inf,0,0,0,0,1
98592000,inf,0,0,0,0,1
99592000,inf,0,0,0,0,1
100592000,inf,0,0,0,0,1
100992000,inf,0,0,0,0,0
101992000,inf,0,0,0,0,0
102992000,inf,0,0,0,0,0
103992000,inf,0,0,0,0,0
104992000,inf,0,0,0,0,0
105992000,inf,0,0,0,0,0
106992000,inf,0,0,0,0,0
107992000,inf,0,0,0,0,0
108992000,inf,0,0,0,0,0
109992000,inf,0,0,0,0,0
110992000,inf,0,0,0,0,0
111992000,inf,0,0,0,0,0
112992000,inf,0,0,0,0,0
113992000,inf,0,0,0,0,0
114992000,inf,0,0,0,0,0
115992000,inf,0,0,0,0,0
116992000,inf,0,0,0,0,0
117992000,inf,0,0,0,0,0
118992000,inf,0,0,0,0,0
119992000,inf,0,0,0,0,0
120992000,inf,0,0,0,0,0
121992000,inf,0,0,0,0,0
122992000,inf,0,0,0,0,0
123992000,inf,0,0,0,0,0
124992000,inf,0,0,0,0,0
125992000,inf,0,0,0,0,0
126992000,inf,0,0,0,0,0
127992000,inf,0,0,0,0,0
128992000,inf,0,0,0,0,0
129992000,inf,0,0,0,0,0
130992000,inf,0,0,0,0,0
131992000,inf,0,0,0,0,0
132992000,inf,0,0,0,0,0
133992000,inf,0,0,0,0,0
134992000,inf,0,0,0,0,0
135992000,inf,0,0,0,0,0
136632000,inf,0,0,0,0,1
137632000,inf,0,0,0,0,1
138632000,inf,0,0,0,0,1
139632000,inf,0,0,0,0,1
