timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
2580000,0,0.0,0.0,-0.00652315,0.000342543,0.0132964,-8.71213e-07,-1.84043e-06,0.0,-0.0142186,-0.00353446,0.00460502,0.00670927,-0.000217803,-0.000460107,0.0,0.0210291,-0.0033581,-0.0708746,0.00743169,0.0,0.1,-0.00460502,0.174278,0.4054,0.323551,0.42956,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2676000,0,0.0,0.0,-0.00702884,-0.000259089,0.0115135,-8.71213e-07,-1.84043e-06,0.0,-0.0147353,-0.00447425,0.0025577,0.00230974,-0.000217803,-0.000460107,0.0,0.000942611,-0.0118455,-0.0398178,0.0072284,0.0,0.1,-0.0025577,0.176273,0.404574,0.329309,0.416147,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2772000,0,0.0,0.0,-0.00763078,-0.000919133,0.00983723,-8.71213e-07,-1.84043e-06,0.0,-0.0173079,-0.00669132,0.00287142,0.00094361,-0.000217803,-0.000460107,0.0,0.0135727,-0.0574209,0.0639902,0.00724923,0.0,0.10031,-0.00287142,0.178692,0.403519,0.334617,0.404447,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2868000,0,0.0,0.0,-0.00829534,-0.00180928,0.00944439,-8.71213e-07,-1.84043e-06,0.0,-0.0192296,-0.0094201,0.00126543,-0.000793792,-0.000217803,-0.000460107,0.0,-0.0254646,0.0128624,-0.0189487,0.00711208,0.0,0.100982,-0.00126543,0.175833,0.394521,0.332559,0.389371,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2964000,0,0.0,0.0,-0.00894202,-0.00265929,0.00886415,-8.71213e-07,-1.84043e-06,0.0,-0.0191238,-0.00852178,0.000991366,-0.00137336,-0.000217803,-0.000460107,0.0,-0.0434809,0.00938491,0.0816174,0.00715592,0.0,0.1,-0.000991366,0.178688,0.393527,0.335871,0.381112,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3060000,0,0.0,0.0,-0.00942736,-0.00341646,0.00800622,-8.71213e-07,-1.84043e-06,0.0,-0.0179149,-0.00881612,-0.000485685,-0.00333852,-0.000217803,-0.000460107,0.0,0.0223548,0.00465265,-0.0357088,0.00686395,0.0,0.1,0.000485685,0.175996,0.385275,0.331317,0.369758,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3156000,0,0.0,0.0,-0.00964822,-0.00398606,0.00548693,-8.71213e-07,-1.84043e-06,0.0,-0.0158746,-0.00831934,-0.00204555,-0.00692213,-0.000217803,-0.000460107,0.0,-0.0209695,-0.00132957,-0.0116639,0.00693248,0.0,0.1,0.00204555,0.178924,0.384641,0.332517,0.364391,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3252000,0,0.0,0.0,-0.00956694,-0.00440589,0.00509925,-8.71213e-07,-1.84043e-06,0.0,-0.0145421,-0.0085144,-0.00277672,-0.00695668,-0.000217803,-0.000460107,0.0,0.00124774,-0.0259788,-0.00235904,0.00677924,0.0,0.104236,0.00277672,0.181689,0.384088,0.332563,0.360063,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3348000,0,0.0,0.0,-0.00932466,-0.00473491,0.00647075,-8.71213e-07,-1.84043e-06,0.0,-0.0134378,-0.00885859,-0.000185405,-0.00216635,-0.000217803,-0.000460107,0.0,0.0878159,0.0129493,0.0569746,0.007155,0.0,0.102951,0.000185405,0.178288,0.376788,0.324237,0.352595,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3444000,0,0.0,0.0,-0.00889236,-0.00495803,0.00792773,-8.71213e-07,-1.84043e-06,0.0,-0.0132974,-0.00902305,0.00186437,0.00153254,-0.000217803,-0.000460107,0.0,0.00350315,0.00750188,-0.00634883,0.0071348,0.0,0.104978,-0.00186437,0.180405,0.376532,0.322226,0.350015,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3540000,0,0.0,0.0,-0.00830864,-0.0051464,0.0104865,-8.71213e-07,-1.84043e-06,0.0,-0.0107002,-0.00957502,0.00269239,0.00463158,-0.000217803,-0.000460107,0.0,-0.0252894,-0.0459352,-0.0465242,0.00706066,0.0,0.101614,-0.00269239,0.176652,0.370023,0.31274,0.3444,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3636000,0,0.0,0.0,-0.00760593,-0.00521506,0.0114134,-8.71213e-07,-1.84043e-06,0.0,-0.00871235,-0.0092597,0.00423021,0.00641628,-0.000217803,-0.000460107,0.0,0.0914871,0.0455243,0.028328,0.00736042,0.0,0.1,-0.00423021,0.178425,0.370263,0.309971,0.343156,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3732000,0,0.0,0.0,-0.00677869,-0.00521361,0.0108541,-8.71213e-07,-1.84043e-06,0.0,-0.00817145,-0.00796309,0.00407194,0.0048242,-0.000217803,-0.000460107,0.0,0.0295306,0.000105931,-0.0408143,0.00725509,0.0,0.1,-0.00407194,0.180138,0.370757,0.307225,0.342393,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
