timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
27000000,0,4e+06,1.0,0.0,14.6145,0.0,0,0,0,0,0,0,0,0,0,1,37
27300000,27296000,4e+06,1.0,0.0209163,26.9303,0.0,190,191,6,0,0,2,0,0,1,1,43
28000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
28300000,28296000,4e+06,1.0,0.0209163,27.0568,0.0,190,191,6,0,0,2,0,0,1,1,43
29000000,0,4e+06,1.0,0.0,14.5498,0.0,0,0,0,0,0,0,0,0,0,1,37
29300000,28296000,4e+06,1.0,0.0209163,26.9472,0.0,190,191,6,0,0,2,0,0,1,1,43
30000000,0,4e+06,1.0,0.0,14.6066,0.0,0,0,0,0,0,0,0,0,0,1,37
30300000,29300000,4e+06,1.0,0.0209163,26.737,0.0,190,191,6,0,0,2,0,0,1,1,43
31000000,0,4e+06,1.0,0.0,14.7062,0.0,0,0,0,0,0,0,0,0,0,1,37
31300000,30300000,4e+06,1.0,0.0209163,26.8785,0.0,190,191,6,0,0,2,0,0,1,1,43
32000000,0,4e+06,1.0,0.0,14.6355,0.0,0,0,0,0,0,0,0,0,0,1,37
32300000,31300000,4e+06,1.0,0.0209163,26.8546,0.0,190,191,6,0,0,2,0,0,1,1,43
33000000,0,4e+06,1.0,0.0,14.5946,0.0,0,0,0,0,0,0,0,0,0,1,37
33292000,33292000,4e+06,1.0,0.0209163,26.8835,0.0,190,191,6,0,0,2,0,0,1,1,43
34000000,0,4e+06,1.0,0.0,14.5707,0.0,0,0,0,0,0,0,0,0,0,1,37
34292000,33292000,4e+06,1.0,0.0209163,26.7809,0.0,190,191,6,0,0,2,0,0,1,1,43
35000000,0,4e+06,1.0,0.0,14.5857,0.0,0,0,0,0,0,0,0,0,0,1,37
35292000,34292000,4e+06,1.0,0.0209163,26.8446,0.0,190,191,6,0,0,2,0,0,1,1,43
35300000,35296000,4e+06,1.0,0.0209163,26.8446,0.0,190,191,6,0,0,2,0,0,1,1,43
36000000,0,4e+06,1.0,0.0,14.7052,0.0,0,0,0,0,0,0,0,0,0,1,37
36300000,36300000,4e+06,1.0,0.0209163,26.8108,0.0,190,191,6,0,0,2,0,0,1,1,43
37000000,0,4e+06,1.0,0.0,14.6145,0.0,0,0,0,0,0,0,0,0,0,1,37
37300000,37296000,4e+06,1.0,0.0209163,27.1195,0.0,190,191,6,0,0,2,0,0,1,1,43
38000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
38300000,37296000,4e+06,1.0,0.0209163,26.8157,0.0,190,191,6,0,0,2,0,0,1,1,43
39000000,0,4e+06,1.0,0.0,14.5498,0.0,0,0,0,0,0,0,0,0,0,1,37
39300000,38300000,4e+06,1.0,0.0209163,26.8486,0.0,190,191,6,0,0,2,0,0,1,1,43
39308000,39304000,4e+06,1.0,0.0209163,26.8486,0.0,190,191,6,0,0,2,0,0,1,1,43
40000000,0,4e+06,1.0,0.0,14.6066,0.0,0,0,0,0,0,0,0,0,0,1,37
40308000,39304000,4e+06,1.0,0.0209163,26.737,0.0,190,191,6,0,0,2,0,0,1,1,43
41000000,0,4e+06,1.0,0.0,14.7062,0.0,0,0,0,0,0,0,0,0,0,1,37
41308000,40308000,4e+06,1.0,0.0209163,26.9412,0.0,190,191,6,0,0,2,0,0,1,1,43
