timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
71664000,0.0270423,0.0213348,-0.863329,0.00766141,nan,-0.00129923,-0.000207569,-1.49988,0.0,-9.31323e-10,-0.00602875,0.0,0.0,0.0,nan,nan,nan
71852000,0.026798,0.0213021,-1.14532,0.00766141,nan,-0.00129923,0.000112431,-1.49994,0.0,0.0,0.0,0.0,-0.8,0.0,nan,nan,nan
72036000,0.026559,0.0213228,-1.42131,0.00766141,nan,-0.00129923,0.000112431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
72224000,0.0261915,0.0214432,-1.70329,0.00766141,nan,-0.00201923,0.000848431,-1.49994,0.0,-0.016,0.0,0.0,-0.8,0.0,nan,nan,nan
72412000,0.0258362,0.0215737,-1.98528,0.00766141,nan,-0.00169923,0.000688431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
72596000,0.0255236,0.0217004,-2.26127,0.00766141,nan,-0.00169923,0.000688431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
72784000,0.0252579,0.0218119,-2.54326,0.00766141,nan,-0.00137923,0.000368431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
72972000,0.0249986,0.0218812,-2.82525,0.00766141,nan,-0.00137923,0.000368431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
73156000,0.0247922,0.021949,-3.10124,0.00766141,nan,-0.00105923,0.000368431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
73344000,0.0245931,0.0220183,-3.38322,0.00766141,nan,-0.00105923,0.000368431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
73532000,0.0244003,0.0220875,-3.66521,0.00766141,nan,-0.000739227,0.000368431,-1.49994,0.0,0.0,0.0,-0.8,0.0,0.0,nan,nan,nan
73716000,0.0242643,0.0221553,-3.9412,0.00766141,nan,-0.000739227,0.000368431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
73904000,0.0241253,0.0222246,-4.22319,0.00766141,nan,-0.000739227,0.000368431,-1.49994,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
