timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
8000,8000,0.00239271,0.000541415,0.000116552,0.0,0.0,0.0,0.0,0.0
108000,108000,0.000841916,-0.000924536,0.000477767,0.0,0.0,0.0,0.0,0.0
204000,204000,-0.00201266,0.00117369,2.87345e-05,0.0,0.0,0.0,0.0,0.0
300000,300000,0.00102776,-0.000290049,0.000448398,0.0,0.0,0.0,0.0,0.0
400000,400000,-0.0030315,-0.00190123,0.00102582,0.0,0.0,0.0,0.0,0.0
500000,500000,0.00235578,-0.00172442,0.000618688,0.0,0.0,0.0,0.0,0.0
596000,596000,0.00165419,-0.00326331,0.000719182,0.0,0.0,0.0,0.0,0.0
692000,692000,-0.0023174,0.000358241,0.000918776,0.0,0.0,0.0,0.0,0.0
792000,792000,-0.00254335,0.00050964,0.000567938,0.0,0.0,0.0,0.0,0.0
888000,888000,-0.00226133,-0.00642353,-0.00357386,-0.0,0.0,0.0,0.0,-1.0
984000,984000,-0.000878163,-0.00213255,-0.00357175,-0.0,0.0,0.0,0.0,-1.0
1084000,1084000,-0.000817046,-0.000118779,-0.00504297,-0.0,0.0,0.0,0.0,-1.0
1180000,1180000,-0.00433325,-0.00264298,-0.00281146,-0.0,0.0,0.0,0.0,-1.0
1280000,1280000,-0.0016239,-0.00767256,-0.00333558,-0.0,0.0,0.0,0.0,-1.0
1380000,1380000,-0.00050856,-0.00721471,-0.00326495,-0.0,0.0,0.0,0.0,-1.0
1476000,1476000,-0.00132477,0.00211161,-0.00413008,-0.0,0.0,0.0,0.0,-1.0
1572000,1572000,-0.00111877,0.000471446,-0.00289603,-0.0,0.0,0.0,0.0,-1.0
1668000,1668000,0.00143225,-0.00113976,-0.00375033,-0.0,0.0,0.0,0.0,-1.0
1768000,1768000,-0.00140059,-0.00438272,-0.00504524,-0.0,0.0,0.0,0.0,-1.0
1868000,1868000,0.00327823,-0.000623479,-0.00325143,-0.0,0.0,0.0,0.0,-1.0
1964000,1964000,0.00325154,-0.00126047,-0.00436302,-0.0,0.0,0.0,0.0,-1.0
2060000,2060000,0.00422651,0.000536774,-0.00326872,-0.0,0.0,0.0,0.0,-1.0
2156000,2156000,0.00195619,-0.00151841,-0.0056689,-0.0,0.0,0.0,0.0,-1.0
2252000,2252000,0.00389289,-0.00156444,-0.0037794,-0.0,0.0,0.0,0.0,-1.0
2348000,2348000,-0.00148202,-0.00344027,-0.00421235,-0.0,0.0,0.0,0.0,-1.0
2448000,2448000,0.002654,-0.00222641,-0.00549506,-0.0,0.0,0.0,0.0,-1.0
2548000,2548000,-0.00046215,-0.00532599,-0.00492195,-0.0,0.0,0.0,0.0,-1.0
2648000,2648000,0.00740085,-0.00380533,-0.00361564,-0.0,0.0,0.0,0.0,-1.0
2748000,2748000,0.00174749,-0.00261304,-0.00508586,-0.0,0.0,0.0,0.0,-1.0
2848000,2848000,0.00270983,-1.4392e-05,-0.00264201,-0.0,0.0,0.0,0.0,-1.0
2948000,2948000,-0.000908447,-0.00340416,-0.00473562,-0.0,0.0,0.0,0.0,-1.0
3044000,3044000,0.00157144,-0.00615523,-0.0030348,-0.0,0.0,0.0,0.0,-1.0
3140000,3140000,0.00324471,-0.00169393,-0.00367829,-0.0,0.0,0.0,0.0,-1.0
3236000,3236000,0.00301639,0.00152452,-0.00374941,-0.0,0.0,0.0,0.0,-1.0
3336000,3336000,-0.000216197,-0.00218603,-0.00511303,-0.0,0.0,0.0,0.0,-1.0
3436000,3436000,-0.00503215,-0.00230611,-0.00422338,-0.0,0.0,0.0,0.0,-1.0
