timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
1260000,0.999991,-0.000144226,-0.000211055,0.00431732,0.000429494,0.000634291,-0.00252138,0.00012735,3.34659e-05,0.0401221,1.25966e-11,-9.16584e-11,1.18732e-08,1.85247e-08,-1.32577e-10,3.26482e-07,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.0991e-09,3.87644e-05,0.000227137,1.35754e-08,3.05891e-05,3.05891e-05,0.000780553,0.657626,0.657626,0.542921,0.0480874,0.0480874,0.220293,6.40022e-09,6.40022e-09,6.39543e-09,2.55928e-06,2.55928e-06,2.55951e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.310121,0.469353,0.000561193,0.0,2.54277e-06,0.00101211,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
1452000,0.99999,-0.000234072,-0.00027937,0.00438602,-0.000304792,0.00246467,0.00514773,-1.07582e-05,0.00019497,0.0513422,3.35079e-10,-2.05931e-10,4.35439e-08,3.46032e-08,3.74818e-08,-1.59958e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.23873e-09,3.99964e-05,0.000223294,1.14619e-08,3.60414e-05,3.60414e-05,0.000597535,0.233792,0.233792,0.503165,0.0329117,0.0329117,0.186557,6.40012e-09,6.40012e-09,6.3878e-09,2.55638e-06,2.55638e-06,2.55727e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.256561,0.431923,0.00551208,0.0,3.76308e-06,0.00873658,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
1644000,0.999992,-0.000339038,-0.000365827,0.00406673,0.000739941,-0.000140654,-0.0138777,-2.14483e-05,0.000232961,0.0327233,2.05235e-09,6.60207e-11,1.07387e-07,1.44836e-08,1.88004e-07,3.56206e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.19421e-09,4.08113e-05,0.000228882,8.7598e-09,4.33049e-05,4.33049e-05,0.000485829,0.113912,0.113912,0.443124,0.025025,0.025025,0.178657,6.39909e-09,6.39909e-09,6.37494e-09,2.54734e-06,2.54734e-06,2.55107e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.223719,0.422679,0.0033776,0.0,4.91153e-06,0.00382398,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
1836000,0.999992,-0.000437309,-0.000378944,0.00406316,0.0039714,-0.00195167,-0.0102461,0.00024511,-5.16188e-06,0.0332311,3.35903e-09,-1.32493e-09,1.42548e-07,1.08032e-07,2.87312e-07,2.48389e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.29197e-09,4.32725e-05,0.00022469,7.67186e-09,5.23165e-05,5.23165e-05,0.000411195,0.0708152,0.0708153,0.374095,0.02039,0.02039,0.177231,6.39493e-09,6.39493e-09,6.35573e-09,2.52569e-06,2.52569e-06,2.53896e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.20194,0.420988,0.00832251,0.0,5.11524e-06,0.00383365,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2028000,0.999992,-0.000458556,-0.000256296,0.004016,0.00404937,-0.00101555,-0.0157655,0.000691726,-0.000164499,0.0283634,1.13872e-09,-1.08046e-08,2.66085e-07,6.66011e-07,1.56692e-07,3.56073e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.35179e-09,4.16649e-05,0.000225978,7.23086e-09,6.29801e-05,6.29801e-05,0.000364172,0.0569118,0.0569118,0.316298,0.0188162,0.0188162,0.183094,6.38446e-09,6.38446e-09,6.33237e-09,2.48812e-06,2.48812e-06,2.52222e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.193991,0.427895,0.00974998,0.0,1.29981e-05,0.000799547,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2220000,0.999993,-0.000474284,-0.000267595,0.00373905,0.00597202,-0.000965292,-0.0179489,0.00108004,-0.000265932,0.0241884,-5.97702e-09,-3.87031e-08,3.53881e-07,2.07889e-06,-2.02848e-07,3.52321e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.22042e-09,4.00611e-05,0.000230292,5.93016e-09,7.49558e-05,7.49558e-05,0.000324118,0.0510651,0.0510651,0.258985,0.0167512,0.0167512,0.178009,6.35664e-09,6.35664e-09,6.2981e-09,2.41588e-06,2.41588e-06,2.49632e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.183036,0.421911,0.00301834,0.0,2.13645e-05,0.00243804,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2412000,0.999993,-0.000607074,-0.000203094,0.0037178,0.00553646,-0.00176975,-0.0245306,0.00124057,-0.000318398,0.0168816,-2.0146e-08,-9.48851e-08,3.87538e-07,4.53756e-06,-8.23969e-07,6.10428e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.32606e-09,4.24831e-05,0.000231331,5.39392e-09,8.77386e-05,8.77387e-05,0.000293949,0.0505032,0.0505032,0.213416,0.0155115,0.0155115,0.170459,6.29717e-09,6.29717e-09,6.25412e-09,2.30204e-06,2.30204e-06,2.46216e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.176134,0.412867,0.00472008,0.0,2.56189e-05,0.0034399,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2604000,0.999994,-0.000705936,-0.000395217,0.00349542,0.00514695,-0.00324654,-0.013772,0.00148654,-0.000575201,0.0260357,-4.45768e-08,-1.70896e-07,4.84653e-07,7.44745e-06,-1.75154e-06,-3.46122e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.29668e-09,4.26358e-05,0.000239237,4.70411e-09,0.000101083,0.000101083,0.00027412,0.0539004,0.0539004,0.184606,0.0158642,0.0158642,0.16902,6.20615e-09,6.20615e-09,6.20644e-09,2.16827e-06,2.16827e-06,2.42493e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.178125,0.41112,0.00361453,0.0,2.98798e-05,0.00374331,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2796000,0.999994,-0.000435695,-0.000463589,0.00355956,0.00680138,-0.00465788,-0.00890233,0.00170671,-0.000916328,0.0260909,-1.03951e-07,-2.92324e-07,5.45459e-07,1.15251e-05,-3.7364e-06,-6.14662e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.26524e-09,4.27802e-05,0.000238605,4.55405e-09,0.000113643,0.000113644,0.000255736,0.0550908,0.0550907,0.159254,0.0155529,0.0155529,0.159867,6.05004e-09,6.05004e-09,6.14232e-09,1.99187e-06,1.99187e-06,2.3744e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.176368,0.399834,0.00261057,0.0,3.5248e-05,0.00235026,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
2988000,0.999994,-0.000392788,-0.000665701,0.0033737,0.00700434,-0.00532443,-0.0113161,0.00196156,-0.00117616,0.0212161,-2.01508e-07,-4.58116e-07,5.04303e-07,1.63629e-05,-6.57898e-06,-3.2511e-06,0.896075,0.0401213,1.0,0.0,0.0,0.0,0.0,0.0,1.20865e-09,4.23841e-05,0.000222262,3.88868e-09,0.000125241,0.000125241,0.000241409,0.0551066,0.0551066,0.141672,0.0154565,0.0154565,0.15163,5.84116e-09,5.84116e-09,6.06719e-09,1.81344e-06,1.81344e-06,2.31477e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.175821,0.389396,0.00332091,0.0,4.0503e-05,0.0020295,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
